,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
birds,"(645, 260)",19,0.9199,0.9035,,0.7859,0.9797,1546
CAL500,"(502, 68)",174,0.5781,0.5882,,0.532,0.978,1695
emotions,"(593, 72)",6,0.852,0.8503,,0.7523,0.9743,631
enron,"(1702, 1001)",53,0.8192,0.7995,,0.7154,0.938,3030
flags,"(193, 19)",7,0.7458,0.7317,,0.6854,0.8947,194
genbase,"(662, 1185)",27,1,0.9999,,0.9984,0.9533,2762
langlog,"(1460, 1004)",75,0.7575,0.7783,,0.6071,0.9118,2942
medical,"(978, 1449)",45,0.9841,0.9759,,0.9137,0.9166,3222
ng20,"(4379, 1006)",20,0.9631,0.9319,,0.8491,0.8402,2898
scene,"(2407, 294)",6,0.9477,0.9335,,0.8377,0.9842,1752
slashdot,"(3782, 1079)",22,0.8691,0.822,,0.777,0.8342,2686
stackex_chess,"(1675, 585)",227,0.833,0.8356,,0.6596,0.8824,2779
yeast,"(2417, 103)",14,0.7455,0.7239,,0.6243,0.9522,1314
average,,53.46,0.8473,0.8365,,0.7491,0.9261,2111.62
