,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
airfoil,"(1503, 5)",0.0373,0.0629,,0.0427,0.3339,1350
AmesHousing,"(2915, 283)",0.0229,0.0265,,0.0277,0.4853,2936
auto_mpg,"(398, 7)",0.0525,0.0531,,0.0571,0.7294,557
bike_sharing,"(731, 12)",0.0481,0.0537,,0.0521,0.6145,719
boston_housing,"(506, 14)",0.0577,0.0606,,0.062,0.5171,1349
california_housing,"(20640, 8)",0.0613,0.0888,,0.0654,0.2776,2688
car_imports_1985_imputed,"(201, 63)",0.0362,0.0371,,0.0403,0.6101,402
Computer_hardware,"(209, 6)",0.0291,0.0296,,0.0305,0.5258,300
concrete_compressive_strength,"(1030, 8)",0.0397,0.0557,,0.0449,0.4411,1363
concrete_slump_data,"(103, 9)",0.0735,0.0737,,0.0742,0.3859,249
ENB2012_cooling,"(768, 8)",0.0339,0.0347,,0.0338,0.7318,1190
ENB2012_heating,"(768, 8)",0.0112,0.0126,,0.0117,0.7372,1171
forest_fires,"(517, 12)",0.304,0.3054,,0.3081,0.7614,1371
PRSA_data,"(41757, 13)",0.0359,0.0777,,0.0388,0.4799,3679
slump_dataset,"(103, 9)",0.0682,0.0688,,0.073,0.7316,127
students_final_math,"(395, 43)",0.1556,0.1571,,0.1623,0.7975,548
wine_quality_all,"(6497, 12)",0.0741,0.0906,,0.0748,0.2834,1653
wine_quality_red,"(1599, 11)",0.0843,0.097,,0.0792,0.412,1242
wine_quality_white,"(4898, 11)",0.0645,0.0891,,0.0645,0.2875,1237
average,,0.0679,0.0776,,0.0707,0.5338,1270
