,OOB Trees,Small RF,RF,DT,Bellatrex,n. rules,SIRUS,RuleCOSI+ (display),RuleCOSI+,C443,HS,HS (display)
blood,14.936,14.396,743.862,6.394,15.128,1.894,12.0,12.4,4.094,22.59,3.394,19.0
breast_cancer_diagnostic,5.792,5.928,453.22,4.134,5.494,1.254,13.4,14.8,3.482,13.098,4.052,18.4
breast_cancer_original,6.134,5.0,441.38,4.014,5.532,1.196,11.6,17.6,3.452,13.478,4.854,19.0
breast_cancer_prognostic,10.5641,11.1897,517.159,4.1282,9.7897,2.0256,10.0,17.2,9.1282,15.60512821,4.3333,18.8
brest_cancer_coimba,9.5652,9.3565,426.7043,3.3913,9.3652,2.1826,11.2,12.4,8.1739,13.88695652,4.3217,16.4
Colonoscopy_green,8.4421,8.2316,430.0421,3.7579,7.0316,1.8526,10.2,8.8,5.9789,13.07368421,4.8211,9.4
Colonoscopy_hinselmann,6.9368,6.3053,389.7684,2.7053,6.2842,1.7368,10.2,9.2,4.2316,10.91578947,4.2842,7.800000000000001
Colonoscopy_schiller,7.9667,7.0778,388.5889,3.0333,6.7,1.8889,10.2,8.2,4.8333,11.07777778,3.4111,9.8
divorce,1.4529,1.7294,158.4176,1.2941,1.4706,1.0353,10.4,4.6,1.5294,4.635294118,1.3941,1.7999999999999998
Flowmeters,5.4353,4.7647,298.0824,2.6118,4.8941,1.6706,11.6,7.4,2.7647,8.270588235,2.7765,7.4
haberman,12.8754,13.1213,666.1475,5.7311,13.4754,1.9148,13.2,10.6,7.2492,19.70819672,5.2164,19.0
hcc-survival,10.8727,11.0,495.1333,4.5576,9.5636,2.1818,10.0,8.8,7.3212,15.64242424,4.3212,18.8
ionosphere,10.3657,9.2743,612.4086,5.08,8.0143,1.4857,14.6,16.6,7.4,17.54,5.2686,18.8
LSVT_voice_rehabilitation,7.2,7.064,370.936,3.216,6.6,1.864,10.2,8.2,5.512,10.48,3.72,9.0
mamographic,16.342,14.888,907.112,7.816,16.21,1.668,12.0,17.4,8.36,21.334,4.078,19.0
musk,13.7242,13.7937,711.5221,6.0905,12.4779,1.9179,12.8,17.6,11.5937,21.32,5.76,19.0
parkinson,14.144,13.594,819.474,9.42,13.39,1.658,10.8,14.0,8.576,23.538,4.098,19.0
risk_factors,8.726,9.246,740.9,5.486,7.274,1.152,15.6,15.2,5.224,23.54,6.574,19.0
simulation_crashes,6.706,6.576,488.504,3.614,6.484,1.34,13.0,12.2,3.778,15.858,4.464,18.4
sonar,9.3317,9.6244,466.1951,3.7366,8.2927,2.0098,10.4,19.4,9.4195,14.03902439,4.0244,17.0
SPECT,12.0377,12.0415,577.8189,4.1736,11.5472,1.8377,15.0,12.4,5.4038,11.87169811,4.7698,19.0
SPECTF,8.6189,8.7774,455.4189,4.1698,7.8491,1.8491,10.8,16.2,7.2679,13.47924528,5.3245,19.0
vertebral_column_data,7.4194,7.4581,439.4129,3.6968,7.2516,1.5581,11.8,16.6,6.1677,14.20322581,4.371,19.0
wholesale,6.6477,6.3136,470.8182,4.3523,6.7386,1.3864,13.0,11.2,2.9614,14.87045455,4.5227,19.0
average,9.2599,9.0313,519.5428,4.4418,8.6191,1.69,11.8332,12.875,5.9959,15.169,4.3398,15.8667
