,OOB Trees,Small RF,RF,DT,Bellatrex,n. rules,HS,HS (display)
birds,23.97,24.72,1192.91,8.72,23.432,2.19,4.822,19
CAL500,31.29,29.87,1025.45,7.78,29.29,2.95,4.256,19
emotions,21.84,22.61,835.96,7.14,19.476,2.63,4.4,19
enron,59.84,56.64,2202.78,12.41,57.84,2.73,4.722,19
flags,17.65,18.1,649.83,5.1,16.5105,2.76,4.2737,19
genbase,20.48,21.68,1644.83,5.19,22.642,1.34,5.788,19
langlog,39.5,38.19,1521.94,15.98,42.978,2.4,7.024,19
medical,56.71,56.08,2276.07,9.66,59.49,2.57,6.06,19
ng20,122.78,119.65,4619.84,34.52,127.974,2.54,6.3,19
scene,26.71,26.88,1126.25,10.45,25.952,2.38,3.382,19
slashdot,244.98,240.03,9316.42,55.76,248.33,2.52,5.496,19
stackex_chess,100.02,100.56,3642.52,17.6,111.52,2.78,5.14,19
yeast,37.18,35.6,1277.53,11.96,33.508,2.78,5.104,19
average,61.7657,60.8164,2410.1793,15.5593,62.9956,2.5057,5.136,19
