,OOB S. Trees,Small RSF,RSF,SDT,Bellatrex,n. rules
addicts,9.4553,10.0723,459.7021,5.0681,10.5106,2.1745
breast_cancer-survival-imputed,11.0205,11.7333,506.6769,7.9077,10.8205,2.2615
DBCD,16.9288,19.6441,782.8305,17.2339,21.1051,2.2644
DLBCL,23.6083,23.5292,1009.4625,21.3875,26.975,2.3958
echocardiogram,10.1846,9.7308,462.8615,5.7538,10.1538,2.2538
FLChain-single_event-imputed,32.152,31.692,1379.946,15.198,31.726,2.306
gbsg2,17.794,18.014,793.19,9.132,19.036,2.328
lung,11.8844,12.3022,546.3733,6.7333,12.8622,2.2889
NHANES_I-imputed,29.466,28.936,1431.508,17.646,29.852,2.078
primary_biliary_cirrhosis,15.07,14.9075,668.1,8.8225,14.6975,2.2775
rotterdam-excl-recurr,21.834,21.79,969.73,10.52,21.88,2.184
rotterdam-incl-recurr,22.898,21.48,969.422,10.73,21.826,2.22
veteran,10.8,11.1111,432.4444,5.3852,9.8963,2.3333
whas500,15.89,15.792,674.894,8.1,15.76,2.346
average,17.7847,17.9096,791.9387,10.687,18.4218,2.2651
