,OOB Trees,Small RF,Bellatrex
airfoil,0.2391,0.2499,0.3236
AmesHousing,0.3034,0.3868,0.4994
auto_mpg,0.6067,0.5759,0.7403
bike_sharing,0.3403,0.4536,0.636
boston_housing,0.3728,0.4165,0.5223
california_housing,0.1293,0.1833,0.2721
car_imports_1985_imputed,0.5419,0.494,0.627
Computer_hardware,0.4917,0.5141,0.5566
concrete_compressive_strength,0.2432,0.3342,0.434
concrete_slump_data,0.3353,0.3921,0.3989
ENB2012_cooling,0.6035,0.6663,0.7583
ENB2012_heating,0.6049,0.6002,0.7552
forest_fires,0.7254,0.7555,0.7967
PRSA_data,0.2322,0.2378,0.4673
slump_dataset,0.4581,0.5381,0.6753
students_final_math,0.6451,0.6821,0.8208
wine_quality_all,0.2955,0.2886,0.316
wine_quality_red,0.4333,0.4422,0.4544
wine_quality_white,0.3232,0.3061,0.3185
average,0.4171,0.4483,0.5459
