,data size,HS_200,rulelength_200,n leaves200,,HS_20,rulelength_20,n leaves20
blood,"(748, 4)",0.7221,8.78,169.4,,0.7209,3.394,20
breast_cancer_diagnostic,"(569, 30)",0.9632,4.146,19.2,,0.9655,4.052,19.4
breast_cancer_original,"(699, 9)",0.9726,6.338,31.4,,0.9625,4.854,20
breast_cancer_prognostic,"(198, 33)",0.6211,4.5846,21.6,,0.6333,4.3333,19.8
brest_cancer_coimba,"(116, 9)",0.7177,4.2957,17.4,,0.72,4.3217,17.4
Colonoscopy_green,"(98, 62)",0.7705,4.0737,10.2,,0.7897,4.8211,10.4
Colonoscopy_hinselmann,"(97, 62)",0.6104,4.3684,8.8,,0.5792,4.2842,8.8
Colonoscopy_schiller,"(92, 62)",0.5262,3.5,10.8,,0.5246,3.4111,10.8
divorce,"(170, 54)",0.9412,1.4118,2.6,,0.9294,1.3941,2.8
Flowmeters,"(87, 36)",0.9371,2.8588,8.4,,0.9314,2.7765,8.4
haberman,"(306, 3)",0.6724,7.2754,79.2,,0.6175,5.2164,20
hcc-survival,"(165, 49)",0.7,4.5394,21,,0.7138,4.3212,19.8
ionosphere,"(351, 34)",0.9475,5.4771,21.6,,0.9386,5.2686,19.8
LSVT_voice_rehabilitation,"(126, 310)",0.7478,3.56,10,,0.7566,3.72,10
mamographic,"(961, 5)",0.856,9.744,200,,0.8539,4.078,20
musk,"(476, 166)",0.792,6.9895,36.4,,0.7983,5.76,20
parkinson,"(756, 753)",0.813,6.864,43.8,,0.7789,4.098,20
risk_factors,"(858, 35)",0.9642,6.936,35.2,,0.9408,6.574,20
simulation_crashes,"(540, 18)",0.7793,4.376,22.4,,0.77,4.464,19.4
sonar,"(208, 60)",0.7766,3.8293,17.8,,0.7622,4.0244,18
SPECT,"(267, 22)",0.7602,6.1925,50.2,,0.7502,4.7698,20
SPECTF,"(267, 44)",0.6751,5.7811,24.6,,0.6816,5.3245,20
vertebral_column_data,"(310, 6)",0.9355,4.4129,31.4,,0.8762,4.371,20
wholesale,"(440, 7)",0.9479,6.775,30.4,,0.939,4.5227,20
average,,0.7979,5.296216667,38.49166667,,0.788920833,4.339775,16.86666667
