,data size,HS_200,rulelength_200,n leaves200,,HS_20,rulelength_20,n leaves20
andro,"(49, 30)",0.1292,5.9111,39.8,,0.1374,5.42,20
atp1d,"(337, 370)",0.0592,8.2119,200,,0.0648,3.6478,20
atp7d,"(296, 370)",0.049,7.722,148,,0.058,3.6508,20
edm,"(154, 16)",0.1374,4.5512,29.6,,0.1323,3.7176,20
enb,"(768, 8)",0.0239,8.142,200,,0.0335,3.918,20
ENB2012,"(768, 8)",0.0256,8.054,200,,0.0353,4.13,20
jura,"(359, 15)",0.0817,8.7107,200,,0.0808,4.4434,20
oes10,"(403, 298)",0.0269,7.775,200,,0.0294,4.4,20
oes97,"(334, 263)",0.0328,7.9635,200,,0.0342,4.2462,20
osales,"(639, 401)",0.0436,10.566,200,,0.0461,4.718,20
rf1,"(9125, 64)",0.012,7.426,200,,0.0454,3.43,20
rf2,"(4332, 576)",0.0147,7.406,200,,0.0444,3.976,20
scm1d,"(9803, 280)",0.0453,7.32,200,,0.064,3.766,20
scm20d,"(8966, 61)",0.0589,7.868,200,,0.0817,4.01,20
scpf,"(1137, 23)",0.0135,8.796,200,,0.0135,3.37,20
sf1,"(323, 10)",0.0767,6.5406,70.2,,0.0768,4.5469,20
sf2,"(1066, 9)",0.0336,7.636,183.6,,0.0339,4.554,20
slump,"(103, 7)",0.1671,8.24,83,,0.1649,4.89,20
wq,"(1060, 16)",0.1792,8.424,200,,0.1828,4.088,20
average,,0.0637,7.750736842,166.0105263,,0.071536842,4.153826316,20
