,data size,HS_200,rulelength_200,n leaves200,,HS_20,rulelength_20,n leaves20
birds,"(645, 260)",0.8166,8.942,200,,0.7565,4.822,20
CAL500,"(502, 68)",0.5297,8.244,200,,0.5427,4.256,20
emotions,"(593, 72)",0.7902,8.236,200,,0.7846,4.4,20
enron,"(1702, 1001)",0.7337,9.438,200,,0.7349,4.722,20
flags,"(193, 19)",0.7038,7.2158,106,,0.6938,4.2737,20
genbase,"(662, 1185)",0.9978,6.728,28,,0.9976,5.788,20
langlog,"(1460, 1004)",0.7107,11.654,200,,0.694,7.024,20
medical,"(978, 1449)",0.9545,8.902,200,,0.9461,6.06,20
ng20,"(4379, 1006)",0.8968,16.75,200,,0.818,6.3,20
scene,"(2407, 294)",0.8065,7.732,200,,0.8353,3.382,20
slashdot,"(3782, 1079)",0.7782,20.448,200,,0.7263,5.496,20
stackex_chess,"(1675, 585)",0.7252,11.464,200,,0.6916,5.14,20
yeast,"(2417, 103)",0.6212,9.612,200,,0.6393,5.104,20
average,,0.774223077,10.41275385,179.5384615,,0.758515385,5.135976923,20
