,data size,HS_200,rulelength_200,n leaves200,,HS_20,rulelength_20,n leaves20
airfoil,"(1503, 5)",0.0636,7.792,200,,0.0896,4.168,20
AmesHousing,"(2915, 283)",0.0297,7.498,200,,0.0356,3.846,20
auto_mpg,"(398, 7)",0.0647,8.2152,200,,0.0692,3.7316,20
bike_sharing,"(731, 12)",0.0612,8.54,200,,0.0713,4.464,20
boston_housing,"(506, 14)",0.068,8.334,200,,0.0694,3.584,20
california_housing,"(20640, 8)",0.0864,7.718,200,,0.1045,3.924,20
car_imports_1985_imputed,"(201, 63)",0.0436,8.115,152.8,,0.0465,4.765,20
Computer_hardware,"(209, 6)",0.0355,8.9966,146.6,,0.0369,4.1887,20
concrete_compressive_strength,"(1030, 8)",0.0538,8.67,200,,0.0807,4.132,20
concrete_slump_data,"(103, 9)",0.0873,7.41,62.2,,0.089,4.63,20
ENB2012_cooling,"(768, 8)",0.0353,8.274,200,,0.0434,3.924,20
ENB2012_heating,"(768, 8)",0.0106,7.744,200,,0.0247,4.36,20
forest_fires,"(517, 12)",0.3111,10.93,200,,0.3116,5.876,20
PRSA_data,"(41757, 13)",0.0677,8.988,200,,0.0855,4.198,20
slump_dataset,"(103, 9)",0.0786,6.68,78,,0.0744,4.86,20
students_final_math,"(395, 43)",0.1625,9.0557,200,,0.1624,4.5367,20
wine_quality_all,"(6497, 12)",0.093,8.07,200,,0.0961,3.714,20
wine_quality_red,"(1599, 11)",0.1021,8.24,200,,0.1067,4.078,20
wine_quality_white,"(4898, 11)",0.09,8.788,200,,0.0938,4.204,20
average,,0.0813,8.318868421,181.0315789,,0.089015789,4.272842105,20
