,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
blood,"(748, 4)",0.708,0.7525,,0.7041,0.6366,8129
breast_cancer_diagnostic,"(569, 30)",0.9836,0.9879,,0.9867,0.9569,9165
breast_cancer_original,"(699, 9)",0.9958,0.9955,,0.9954,0.8534,6875
breast_cancer_prognostic,"(198, 33)",0.5015,0.4993,,0.5348,0.9635,2868
brest_cancer_coimba,"(116, 9)",0.7569,0.7554,,0.7508,0.8769,1571
Colonoscopy_green,"(98, 62)",0.9333,0.9282,,0.9449,0.9882,1346
Colonoscopy_hinselmann,"(97, 62)",0.5917,0.5833,,0.6229,0.9739,1736
Colonoscopy_schiller,"(92, 62)",0.6292,0.6277,,0.5923,0.9933,1792
divorce,"(170, 54)",0.9941,0.9941,,0.9471,1,3490
Flowmeters,"(87, 36)",0.9943,0.9943,,0.9771,0.9901,1487
haberman,"(306, 3)",0.6897,0.7,,0.6786,0.6589,4869
hcc-survival,"(165, 49)",0.8331,0.8277,,0.825,0.9683,3721
ionosphere,"(351, 34)",0.9828,0.9817,,0.9812,0.945,6752
LSVT_voice_rehabilitation,"(126, 310)",0.8824,0.8824,,0.8882,0.9971,4896
mamographic,"(961, 5)",0.8523,0.8645,,0.851,0.6185,7875
musk,"(476, 166)",0.9511,0.9241,,0.9475,0.9894,10558
parkinson,"(756, 753)",0.9348,0.9194,,0.9128,0.9963,14639
risk_factors,"(858, 35)",0.9709,0.9443,,0.9339,0.9414,3904
simulation_crashes,"(540, 18)",0.9284,0.9333,,0.9012,0.9004,8491
sonar,"(208, 60)",0.9163,0.9211,,0.9117,0.9848,4080
SPECT,"(267, 22)",0.7695,0.7933,,0.7489,0.8979,4839
SPECTF,"(267, 44)",0.8203,0.8338,,0.792,0.9608,4067
vertebral_column_data,"(310, 6)",0.955,0.9588,,0.9477,0.7868,3827
wholesale,"(440, 7)",0.9554,0.9575,,0.9525,0.8277,5104
average,,0.8554,0.8567,,0.8470,0.9044,5253
