,data size,n labels,Single D(S)T,Logistic-Regr,Single D(S)T n_splits,orig. R(S)F,R(S)F n_splits,--,Best (S)T,BestTs diss,BestT n_splits,---,Mini R(S)F ,Mini R(S)F diss,MiniRF n_splits,-,n_rules
birds,"(645, 260)",19,0.7371,0.4563,8.72,0.9199,1192.91,,0.7862,0.9544,23.97,,0.7818,0.9664,24.72,,2.19
CAL500,"(502, 68)",174,0.5206,0.5085,7.78,0.5781,1025.45,,0.5327,0.9589,31.29,,0.5349,0.9494,29.87,,2.95
emotions,"(593, 72)",6,0.7453,0.4399,7.14,0.852,835.96,,0.7586,0.9318,21.84,,0.7498,0.943,22.61,,2.63
enron,"(1702, 1001)",53,0.719,0.5071,12.41,0.8192,2202.78,,0.7322,0.9652,59.84,,0.7164,0.9754,56.64,,2.73
flags,"(193, 19)",7,0.6799,0.6372,5.10,0.7458,649.83,,0.6882,0.8615,17.65,,0.6336,0.8496,18.10,,2.76
genbase,"(662, 1185)",27,0.9971,0.5019,5.19,1,1644.83,,0.9928,0.9255,20.48,,0.9944,0.9364,21.68,,1.34
langlog,"(1460, 1004)",75,0.6107,0.5099,15.98,0.7575,1521.94,,0.6012,0.969,39.50,,0.5991,0.98,38.19,,2.40
medical,"(978, 1449)",45,0.9279,0.5182,9.66,0.9841,2276.07,,0.9102,0.9507,56.71,,0.8954,0.9571,56.08,,2.57
ng20,"(4379, 1006)",20,0.836,0.4996,34.52,0.9631,4619.84,,0.8525,0.8614,122.78,,0.863,0.9093,119.65,,2.54
scene,"(2407, 294)",6,0.7865,0.5023,10.45,0.9477,1126.25,,0.8437,0.9543,26.71,,0.8451,0.9768,26.88,,2.38
slashdot,"(3782, 1079)",22,0.7716,0.4978,55.76,0.8691,9316.42,,0.7669,0.8606,244.98,,0.7754,0.883,240.03,,2.52
stackex_chess,"(1675, 585)",227,0.6538,0.5016,17.60,0.833,3642.52,,0.667,0.8862,100.02,,0.6653,0.9272,100.56,,2.78
yeast,"(2417, 103)",14,0.6063,0.518,11.96,0.7455,1277.53,,0.6491,0.933,37.18,,0.6197,0.9406,35.60,,2.78
average,,53.46,0.7378,0.5076,15.56,0.8473,2410.18,,0.7524,0.9240,61.77,,0.7441,0.9380,60.82,,2.51
