,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
airfoil,"(1503, 5)",0.0373,0.0629,,0.0374,0.3236,8786
AmesHousing,"(2915, 283)",0.0229,0.0265,,0.023,0.4994,17825
auto_mpg,"(398, 7)",0.0525,0.0531,,0.0525,0.7403,4254
bike_sharing,"(731, 12)",0.0481,0.0537,,0.0481,0.636,4030
boston_housing,"(506, 14)",0.0577,0.0606,,0.0576,0.5223,4032
california_housing,"(20640, 8)",0.0613,0.0888,,0.0611,0.2721,13680
car_imports_1985_imputed,"(201, 63)",0.0362,0.0371,,0.036,0.627,4246
Computer_hardware,"(209, 6)",0.0291,0.0296,,0.0297,0.5566,2648
concrete_compressive_strength,"(1030, 8)",0.0397,0.0557,,0.0396,0.434,6666
concrete_slump_data,"(103, 9)",0.0735,0.0737,,0.0734,0.3989,1258
ENB2012_cooling,"(768, 8)",0.0339,0.0347,,0.0338,0.7583,8604
ENB2012_heating,"(768, 8)",0.0112,0.0126,,0.0111,0.7552,8748
forest_fires,"(517, 12)",0.304,0.3054,,0.3032,0.7967,6944
PRSA_data,"(41757, 13)",0.0359,0.0777,,0.0361,0.4673,12584
slump_dataset,"(103, 9)",0.0682,0.0688,,0.068,0.6753,771
students_final_math,"(395, 43)",0.1556,0.1571,,0.155,0.8208,7444
wine_quality_all,"(6497, 12)",0.0741,0.0906,,0.071,0.316,9822
wine_quality_red,"(1599, 11)",0.0843,0.097,,0.0808,0.4544,7052
wine_quality_white,"(4898, 11)",0.0645,0.0891,,0.0623,0.3185,6374
average,,0.0679,0.0776,,0.0674,0.5459,7146
