,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
addicts,"(238, 3)",0.6497,0.6486,,0.6512,0.5679,2356
ALS-imputed-70,"(5324, 76)",0.8033,0.7778,,0.8045,0.9449,12705
breast_cancer-survival-imputed,"(198, 80)",0.6524,0.648,,0.6417,0.9841,2630
DBCD,"(295, 4919)",0.7549,0.7595,,0.7534,0.999,50275
DLBCL,"(240, 7399)",0.6352,0.6388,,0.6357,0.9994,56584
echocardiogram,"(130, 9)",0.4145,0.4148,,0.4166,0.8567,802
FLChain-single_event-imputed,"(7874, 8)",0.8312,0.8253,,0.833,0.743,5587
gbsg2,"(686, 8)",0.7022,0.702,,0.7035,0.7633,3930
lung,"(228, 8)",0.6216,0.6137,,0.6236,0.8395,2516
NHANES_I-imputed,"(9931, 18)",0.8205,0.8117,,0.8209,0.8391,13842
primary_biliary_cirrhosis,"(403, 19)",0.8469,0.8478,,0.8467,0.8664,3397
rotterdam-excl-recurr,"(2982, 11)",0.7954,0.7953,,0.7961,0.7614,3754
rotterdam-incl-recurr,"(2982, 12)",0.9038,0.8964,,0.9047,0.8187,6047
veteran,"(137, 9)",0.7349,0.7326,,0.7349,0.8167,1362
whas500,"(500, 14)",0.7449,0.746,,0.7458,0.8305,4808
average,,0.7274,0.7239,,0.7275,0.8420,11373
