,data size,Avg. rule length
andro,"(49, 30)",8.7711
atp1d,"(337, 370)",19.0119
atp7d,"(296, 370)",18.9695
edm,"(154, 16)",9.2454
enb,"(768, 8)",18.554
ENB2012,"(768, 8)",18.324
jura,"(359, 15)",20.8739
oes10,"(403, 298)",24.4925
oes97,"(334, 263)",23.263
osales,"(639, 401)",49.874
rf1,"(9125, 64)",30.4
rf2,"(4332, 576)",27.484
scm1d,"(9803, 280)",33.816
scm20d,"(8966, 61)",34.844
scpf,"(1137, 23)",27.75
sf1,"(323, 10)",12.4219
sf2,"(1066, 9)",17.05
slump,"(103, 7)",13.72
wq,"(1060, 16)",30.08
average,,23.102378947368425
