,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
blood,"(748, 4)",0.708,0.7525,,0.702,0.4549,4989
breast_cancer_diagnostic,"(569, 30)",0.9836,0.9879,,0.9865,0.9327,5611
breast_cancer_original,"(699, 9)",0.9958,0.9955,,0.9956,0.7165,5404
breast_cancer_prognostic,"(198, 33)",0.5015,0.4993,,0.5248,0.94,2590
brest_cancer_coimba,"(116, 9)",0.7569,0.7554,,0.7515,0.7992,1353
Colonoscopy_green,"(98, 62)",0.9333,0.9282,,0.9205,0.9824,1365
Colonoscopy_hinselmann,"(97, 62)",0.5917,0.5833,,0.5854,0.963,1313
Colonoscopy_schiller,"(92, 62)",0.6292,0.6277,,0.6492,0.9849,1230
divorce,"(170, 54)",0.9941,0.9941,,0.9522,0.9759,2153
Flowmeters,"(87, 36)",0.9943,0.9943,,0.99,0.9494,977
haberman,"(306, 3)",0.6897,0.7,,0.6782,0.4986,2971
hcc-survival,"(165, 49)",0.8331,0.8277,,0.8038,0.9494,2126
ionosphere,"(351, 34)",0.9828,0.9817,,0.9819,0.9234,4381
LSVT_voice_rehabilitation,"(126, 310)",0.8824,0.8824,,0.8588,0.9982,3484
mamographic,"(961, 5)",0.8523,0.8645,,0.8505,0.4048,5422
musk,"(476, 166)",0.9511,0.9241,,0.9391,0.9806,8795
parkinson,"(756, 753)",0.9348,0.9194,,0.9118,0.9909,13196
risk_factors,"(858, 35)",0.9709,0.9443,,0.9346,0.8574,3912
simulation_crashes,"(540, 18)",0.9284,0.9333,,0.8826,0.7983,3425
sonar,"(208, 60)",0.9163,0.9211,,0.9029,0.9765,2835
SPECT,"(267, 22)",0.7695,0.7933,,0.7565,0.7716,3084
SPECTF,"(267, 44)",0.8203,0.8338,,0.7877,0.9564,3427
vertebral_column_data,"(310, 6)",0.955,0.9588,,0.9545,0.6156,2942
wholesale,"(440, 7)",0.9554,0.9575,,0.9532,0.6675,4216
average,,0.8554,0.8567,,0.8439,0.8370,3800.041667
