,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
birds,"(645, 260)",19,0.9199,0.9035,,0.8278,0.9687,14557
CAL500,"(502, 68)",174,0.5781,0.5882,,0.5372,0.9403,18608
emotions,"(593, 72)",6,0.852,0.8503,,0.8267,0.9508,8551
enron,"(1702, 1001)",53,0.8192,0.7995,,0.7566,0.9704,31448
flags,"(193, 19)",7,0.7458,0.7317,,0.7325,0.8053,2621
genbase,"(662, 1185)",27,1,0.9999,,0.9977,0.9009,35440
langlog,"(1460, 1004)",75,0.7575,0.7783,,0.5903,0.9813,33982
medical,"(978, 1449)",45,0.9841,0.9759,,0.9409,0.9367,25195
ng20,"(4379, 1006)",20,0.9631,0.9319,,0.9239,0.8999,33025
scene,"(2407, 294)",6,0.9477,0.9335,,0.9165,0.9778,10202
slashdot,"(3782, 1079)",22,0.8691,0.822,,0.8235,0.8697,34994
stackex_chess,"(1675, 585)",227,0.833,0.8356,,0.6948,0.9128,17492
yeast,"(2417, 103)",14,0.7455,0.7239,,0.6856,0.9314,10207
average,,53.46,0.8473,0.8365,,0.7888,0.9266,21255.54
