,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
airfoil,"(1503, 5)",0.0373,0.0629,,0.0373,0.3266,5172
AmesHousing,"(2915, 283)",0.0229,0.0265,,0.023,0.6821,10822
auto_mpg,"(398, 7)",0.0525,0.0531,,0.0523,0.5196,2728
bike_sharing,"(731, 12)",0.0481,0.0537,,0.0483,0.4934,4247
boston_housing,"(506, 14)",0.0577,0.0606,,0.058,0.5663,4511
california_housing,"(20640, 8)",0.0613,0.0888,,0.0614,0.3923,6585
car_imports_1985_imputed,"(201, 63)",0.0362,0.0371,,0.0362,0.6746,2337
Computer_hardware,"(209, 6)",0.0291,0.0296,,0.0289,0.4869,1582
concrete_compressive_strength,"(1030, 8)",0.0397,0.0557,,0.0397,0.4721,5200
concrete_slump_data,"(103, 9)",0.0735,0.0737,,0.0731,0.6123,829
ENB2012_cooling,"(768, 8)",0.0339,0.0347,,0.0338,0.4859,4559
ENB2012_heating,"(768, 8)",0.0112,0.0126,,0.0111,0.478,4556
forest_fires,"(517, 12)",0.304,0.3054,,0.3028,0.6685,5222
PRSA_data,"(41757, 13)",0.0359,0.0777,,0.0358,0.3935,11547
slump_dataset,"(103, 9)",0.0682,0.0688,,0.0682,0.609,690
students_final_math,"(395, 43)",0.1556,0.1571,,0.1546,0.7678,3348
wine_quality_all,"(6497, 12)",0.0741,0.0906,,0.0715,0.5111,5886
wine_quality_red,"(1599, 11)",0.0843,0.097,,0.0807,0.5517,4708
wine_quality_white,"(4898, 11)",0.0645,0.0891,,0.0623,0.51,4700
average,,0.0679,0.0776,,0.0673,0.5369,4696.26
