,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
addicts,"(238, 3)",0.6497,0.6486,,0.6484,0.2749,2148
ALS-imputed-70,"(5324, 76)",0.8033,0.7778,,0.8029,0.8894,12940
breast_cancer-survival-imputed,"(198, 80)",0.6524,0.648,,0.6497,0.9774,2634
DBCD,"(295, 4919)",0.7549,0.7595,,0.7592,0.9992,41498
DLBCL,"(240, 7399)",0.6352,0.6388,,0.6185,0.9997,52148
echocardiogram,"(130, 9)",0.4145,0.4148,,0.4181,0.7565,1240
FLChain-single_event-imputed,"(7874, 8)",0.8312,0.8253,,0.8321,0.4757,6238
gbsg2,"(686, 8)",0.7022,0.702,,0.7032,0.591,4053
lung,"(228, 8)",0.6216,0.6137,,0.6189,0.7318,2172
NHANES_I-imputed,"(9931, 18)",0.8205,0.8117,,0.8193,0.6307,11978
primary_biliary_cirrhosis,"(403, 19)",0.8469,0.8478,,0.8472,0.8034,3682
rotterdam-excl-recurr,"(2982, 11)",0.7954,0.7953,,0.7961,0.534,4038
rotterdam-incl-recurr,"(2982, 12)",0.9038,0.8964,,0.9036,0.5836,5277
veteran,"(137, 9)",0.7349,0.7326,,0.7352,0.7267,1175
whas500,"(500, 14)",0.7449,0.746,,0.7444,0.699,4532
average,,0.7274,0.7239,,0.7265,0.7115,10384
