,RF,"Bellatrex, wt.","Bellatrex, simple",OOB Trees,DT,Small RF,LR,HS
andro,0.0959,0.0911,0.0933,0.1078,0.1162,0.1102,0.1388,0.1374
atp1d,0.0484,0.0479,0.0483,0.0556,0.0589,0.0563,0.0741,0.0648
atp7d,0.047,0.0443,0.0454,0.0489,0.0503,0.0597,0.0871,0.058
edm,0.1194,0.1068,0.1102,0.1072,0.1189,0.1259,0.1656,0.1323
enb,0.0227,0.0225,0.0227,0.0228,0.0244,0.0241,0.063,0.0335
ENB2012,0.0235,0.0234,0.0235,0.0249,0.0271,0.0258,0.0649,0.0353
jura,0.0678,0.0678,0.0681,0.0783,0.0808,0.0801,0.0717,0.0808
oes10,0.0218,0.022,0.0219,0.0246,0.0268,0.0263,0.0271,0.0294
oes97,0.0293,0.0296,0.0298,0.0321,0.0343,0.0339,0.0379,0.0342
osales,0.0378,0.0361,0.0362,0.0422,0.0431,0.0433,0.0867,0.0461
rf1,0.0023,0.0019,0.0018,0.0027,0.0036,0.003,0.0324,0.0454
rf2,0.0038,0.0031,0.0032,0.0051,0.0063,0.0053,0.0288,0.0444
scm1d,0.0253,0.0249,0.0247,0.0323,0.0362,0.033,0.0368,0.064
scm20d,0.0309,0.0296,0.0298,0.0402,0.0419,0.0388,0.0664,0.0817
scpf,0.0113,0.0105,0.0108,0.0138,0.0113,0.0163,0.0122,0.0135
sf1,0.0772,0.0726,0.0736,0.0797,0.0727,0.0769,0.0751,0.0768
sf2,0.0321,0.0318,0.0318,0.0324,0.0312,0.0328,0.0322,0.0339
slump,0.1451,0.1433,0.1438,0.1403,0.1643,0.1501,0.1551,0.1649
wq,0.1681,0.161,0.161,0.1774,0.1791,0.1806,0.1849,0.1828
average,0.0531,0.0511,0.0516,0.0562,0.0593,0.0591,0.0758,0.0715
