,data size,RuleCOSI,all ruleslength,n. rules,ruleslength read,n. rules read
blood,"(748, 4)",0.6419,12.4,6,4.094,2.15
breast_cancer_diagnostic,"(569, 30)",0.94,14.8,7.2,3.482,1.39
breast_cancer_original,"(699, 9)",0.9749,17.6,8.4,3.452,1.4
breast_cancer_prognostic,"(198, 33)",0.5374,17.2,6.8,9.1282,3.43
brest_cancer_coimba,"(116, 9)",0.5938,12.4,5.6,8.1739,3.61
Colonoscopy_green,"(98, 62)",0.7154,8.8,4.6,5.9789,2.47
Colonoscopy_hinselmann,"(97, 62)",0.5812,9.2,4.6,4.2316,1.46
Colonoscopy_schiller,"(92, 62)",0.6,8.2,3.8,4.8333,2.11
divorce,"(170, 54)",0.9325,4.6,3.8,1.5294,1.09
Flowmeters,"(87, 36)",0.9514,7.4,4.4,2.7647,1.65
haberman,"(306, 3)",0.555,10.6,4.8,7.2492,3.31
hcc-survival,"(165, 49)",0.6008,8.8,4.2,7.3212,3.46
ionosphere,"(351, 34)",0.8251,16.6,7.6,7.4,3.07
LSVT_voice_rehabilitation,"(126, 310)",0.7022,8.2,3.6,5.512,2.12
mamographic,"(961, 5)",0.8072,17.4,6.4,8.36,3
musk,"(476, 166)",0.7158,17.6,7.8,11.5937,5.06
parkinson,"(756, 753)",0.7663,14,4.8,8.576,2.67
risk_factors,"(858, 35)",0.8179,15.2,6,5.224,1.3
simulation_crashes,"(540, 18)",0.7939,12.2,5.6,3.778,1.63
sonar,"(208, 60)",0.7617,19.4,7.6,9.4195,3.58
SPECT,"(267, 22)",0.7169,12.4,7.4,5.4038,3.35
SPECTF,"(267, 44)",0.6656,16.2,7,7.2679,3.21
vertebral_column_data,"(310, 6)",0.8962,16.6,7.8,6.1677,2.95
wholesale,"(440, 7)",0.9163,11.2,5.8,2.9614,1.42
average,,0.750391667,12.875,5.9,5.9959,2.54
