,RuleFit20,rulelength20,--,RuleFit200,rulelength200
andro,0.1501,5.1005,,0.1143,6.2512
atp1d,0.0652,3.7459,,0.058,8.1333
atp7d,0.0596,3.4565,,0.0477,7.8751
edm,0.1341,3.9593,,0.1355,4.7084
enb,0.0335,3.8883,,0.0239,8.1356
ENB2012,0.0353,4.056,,0.0256,8.2057
jura,0.0819,4.4121,,0.0791,8.8802
oes10,0.0274,4.4446,,0.0286,7.7232
oes97,0.0326,4.3298,,0.0342,7.9418
osales,0.0448,4.6727,,0.0441,9.8111
rf1,0.0454,3.3625,,0.0119,7.4277
rf2,0.0444,3.9952,,0.0142,7.4894
scm1d,0.064,3.7743,,0.0454,7.3682
scm20d,0.0817,3.9561,,0.0588,7.8533
scpf,0.0135,3.5562,,0.0135,8.8424
sf1,0.0768,4.6239,,0.0767,6.7521
sf2,0.0339,4.6199,,0.0336,7.5576
slump,0.1642,4.8386,,0.1635,7.9036
wq,0.1828,4.0133,,0.1793,8.2802
average,0.072168421,4.147668421,,0.062521053,7.744215789
