,RuleFit20,rulelength20,--,RuleFit200,rulelength200
birds,0.7531,4.7688,,0.8131,8.5578
CAL500,0.544,4.3005,,0.5279,8.1826
emotions,0.7868,4.417,,0.7923,8.3826
enron,0.7349,4.7,,0.7335,9.3303
flags,0.6938,4.2761,,0.7069,6.9884
genbase,0.9976,5.7936,,0.9978,6.368
langlog,0.694,6.9193,,0.7113,11.5387
medical,0.946,6.0303,,0.9542,9.1401
ng20,0.818,5.9817,,0.8978,17.135
scene,0.8351,3.5362,,0.8148,7.8251
slashdot,0.7263,5.4732,,0.7801,24.1014
stackex_chess,0.6916,4.879,,0.7224,11.0131
yeast,0.6393,5.1246,,0.6203,9.7693
average,0.7585,5.092330769,,0.7748,10.64095385
