,RuleFit20,rulelength20,-,RuleFit200,rulelength200,--
airfoil,0.0896,4.059,,0.0631,7.61,
AmesHousing,0.0355,3.9094,,0.0292,7.2768,
auto_mpg,0.0692,3.6821,,0.0644,7.9141,
bike_sharing,0.0708,4.4219,,0.0598,8.799,
boston_housing,0.0699,3.5773,,0.0672,8.1611,
california_housing,0.1045,3.923,,0.0864,7.7087,
car_imports_1985_imputed,0.0451,4.5031,,0.0457,8.0224,
Computer_hardware,0.0342,3.9805,,0.0355,8.5073,
concrete_compressive_strength,0.0807,4.2133,,0.0537,8.5363,
concrete_slump_data,0.0918,4.8265,,0.0896,7.4627,
ENB2012_cooling,0.0434,3.897,,0.0353,8.0982,
ENB2012_heating,0.0247,4.2665,,0.0106,7.9826,
forest_fires,0.3116,5.8614,,0.3111,11.0504,
PRSA_data,0.0855,4.599,,0.0677,8.8809,
slump_dataset,0.077,4.694,,0.0768,6.8892,
students_final_math,0.1629,4.6108,,0.1631,8.8424,
wine_quality_all,0.0961,3.6778,,0.0928,8.0268,
wine_quality_red,0.1068,4.0352,,0.1026,8.2264,
wine_quality_white,0.0938,4.086,,0.0902,8.8427,
average,0.089110526,4.253884211,,0.081305263,8.254631579,
