data,10_rules_perf,10_rules_length,20_rules_perf,20_rules_length,50_rules_perf,50_rules_length
airfoil,0.1195,13.8,0.116433833,32,0.101704828,86.8
AmesHousing,0.0504,14,0.045667537,33.2,0.039744722,88.2
auto_mpg,0.0871,12,0.081549278,30,0.068463482,86.4
bike_sharing,0.0933,14.8,0.084675163,33.2,0.075342081,89
boston_housing,0.0842,12.2,0.080960143,29.2,0.075951647,84.2
california_housing,0.1438,13,0.139166534,32.6,0.13197605,90.2
car_imports_1985_imputed,0.0666,14.2,0.062680606,30.2,0.05090481,83
Computer_hardware,0.044,14.8,0.043173427,34.2,0.039509069,92.2
concrete_compressive_strength,0.1126,12.2,0.107680294,30,0.090082639,87
concrete_slump_data,0.1223,13.4,0.106654813,29.6,0.103848232,83.8
ENB2012_cooling,0.0768,14.2,0.073837314,33.6,0.066285497,88
ENB2012_heating,0.0807,15,0.075103713,33.2,0.060656526,88
forest_fires,0.317,10,0.317756127,21.4,0.315189595,69.2
PRSA_data,0.1022,15.6,0.1000222,33.2,0.097121823,89.6
slump_dataset,0.0957,13.4,0.085467443,28.8,0.081681683,80.4
students_final_math,0.1611,14.8,0.163970035,32,0.166124616,81.6
wine_quality_all,0.1025,14.2,0.102611048,31.8,0.099961152,88.2
wine_quality_red,0.1123,11.2,0.10922311,28.8,0.104888953,84.8
wine_quality_white,0.0996,14.2,0.096659935,33,0.094480388,87
average,0.109,13.53,0.1049,31.05,0.0981,85.66
