,data size,p_full,p_original,p_pruned_tuned,p_pruned_untuned,RF original
blood,"(748, 4)",0.751864035,0.708004386,0.749287281,0.744901316,0.708004386
breast_cancer_diagnostic,"(569, 30)",0.988416988,0.983612184,0.987344487,0.984813385,0.983612184
breast_cancer_original,"(699, 9)",0.995653445,0.995828054,0.995742571,0.995648587,0.995828054
breast_cancer_prognostic,"(198, 33)",0.562962963,0.501481481,0.562962963,0.518518519,0.501481481
brest_cancer_coimba,"(116, 9)",0.798461538,0.756923077,0.798461538,0.753846154,0.756923077
Colonoscopy_green,"(98, 62)",0.891025641,0.933333333,0.891025641,0.930769231,0.933333333
Colonoscopy_hinselmann,"(97, 62)",0.6625,0.591666667,0.6625,0.5875,0.591666667
Colonoscopy_schiller,"(92, 62)",0.629230769,0.629230769,0.629230769,0.630769231,0.629230769
divorce,"(170, 54)",0.992387543,0.994117647,0.992387543,0.994117647,0.994117647
Flowmeters,"(87, 36)",0.98,0.994285714,0.98,0.994285714,0.994285714
haberman,"(306, 3)",0.702222222,0.689722222,0.702222222,0.696111111,0.689722222
hcc-survival,"(165, 49)",0.836538462,0.833076923,0.843846154,0.831538462,0.833076923
ionosphere,"(351, 34)",0.980444444,0.982755556,0.980266667,0.981511111,0.982755556
LSVT_voice_rehabilitation,"(126, 310)",0.896323529,0.882352941,0.896323529,0.880882353,0.882352941
mamographic,"(961, 5)",0.856924316,0.852294686,0.856602254,0.863848631,0.852294686
musk,"(476, 166)",0.946025294,0.951129178,0.931887986,0.932610659,0.951129178
parkinson,"(756, 753)",0.92288,0.934826667,0.909333333,0.927146667,0.934826667
risk_factors,"(858, 35)",0.943794326,0.970921986,0.939184397,0.968794326,0.970921986
simulation_crashes,"(540, 18)",0.924746178,0.928354104,0.923525177,0.931824335,0.928354104
sonar,"(208, 60)",0.906220096,0.916267943,0.909569378,0.920095694,0.916267943
SPECT,"(267, 22)",0.784199134,0.769480519,0.790692641,0.792424242,0.769480519
SPECTF,"(267, 44)",0.7995671,0.82034632,0.806493506,0.824675325,0.82034632
vertebral_column_data,"(310, 6)",0.95,0.955,0.95,0.956666667,0.955
wholesale,"(440, 7)",0.958928571,0.955357143,0.959107143,0.957738095,0.955357143
average,,0.8609,0.8554,0.8603,0.8584,0.8554
