,data size,p_full,p_original,p_pruned_tuned,p_pruned_untuned,RF original
airfoil,"(1503, 5)",0.031057525,0.037293246,0.054546078,0.063517827,0.037293246
AmesHousing,"(2915, 283)",0.022266389,0.022944817,0.024421857,0.028492058,0.022944817
auto_mpg,"(398, 7)",0.053612362,0.052452204,0.053418486,0.053833103,0.052452204
bike_sharing,"(731, 12)",0.048661483,0.048142635,0.051247887,0.059660289,0.048142635
boston_housing,"(506, 13)",0.05661723,0.059141213,0.058070735,0.058598177,0.059141213
california_housing,"(20640, 8)",0.061950542,0.061330161,0.084379509,0.091853253,0.061330161
car_imports_1985_imputed,"(201, 63)",0.035443631,0.036188249,0.03584823,0.039167753,0.036188249
Computer_hardware,"(209, 6)",0.029078622,0.029124351,0.028820553,0.028171521,0.029124351
concrete_compressive_strength,"(1030, 8)",0.038652476,0.039725105,0.049815508,0.064092236,0.039725105
concrete_slump_data,"(103, 9)",0.077959562,0.073484944,0.075946734,0.103148911,0.073484944
ENB2012_cooling,"(768, 8)",0.030318521,0.033859869,0.034636008,0.038039701,0.033859869
ENB2012_heating,"(768, 8)",0.010099961,0.011213352,0.010534874,0.019820192,0.011213352
forest_fires,"(517, 12)",0.31054789,0.303992624,0.31054789,0.306017338,0.303992624
PRSA_data,"(41757, 12)",0.038465881,0.039491123,0.073417607,0.082640436,0.039491123
slump_dataset,"(103, 9)",0.067821221,0.068175015,0.069264234,0.077868065,0.068175015
students_final_math,"(395, 43)",0.156482169,0.155550249,0.156573165,0.158606869,0.155550249
wine_quality_all,"(6497, 12)",0.071032222,0.0741454,0.088557478,0.09019755,0.0741454
wine_quality_red,"(1599, 11)",0.082841333,0.084259594,0.095768097,0.097811312,0.084259594
wine_quality_white,"(4898, 11)",0.0613,0.064543176,0.086674909,0.087491628,0.064543176
average,,0.0676,0.0682,0.0759,0.0815,0.0682
