,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
blood,"(748, 4)",0.708,0.7525,,0.7005,0.6304,1666
breast_cancer_diagnostic,"(569, 30)",0.9836,0.9879,,0.9865,0.9542,1784
breast_cancer_original,"(699, 9)",0.9958,0.9955,,0.9953,0.8624,1546
breast_cancer_prognostic,"(198, 33)",0.5015,0.4993,,0.5441,0.9637,616
brest_cancer_coimba,"(116, 9)",0.7569,0.7554,,0.7723,0.8631,288
Colonoscopy_green,"(98, 62)",0.9333,0.9282,,0.8385,0.9819,373
Colonoscopy_hinselmann,"(97, 62)",0.5917,0.5833,,0.6042,0.966,421
Colonoscopy_schiller,"(92, 62)",0.6292,0.6277,,0.6077,0.9942,398
divorce,"(170, 54)",0.9941,0.9941,,0.9412,1,717
Flowmeters,"(87, 36)",0.9943,0.9943,,0.95,0.9773,337
haberman,"(306, 3)",0.6897,0.7,,0.6769,0.6559,974
hcc-survival,"(165, 49)",0.8331,0.8277,,0.8058,0.964,739
ionosphere,"(351, 34)",0.9828,0.9817,,0.9737,0.9465,1365
LSVT_voice_rehabilitation,"(126, 310)",0.8824,0.8824,,0.8243,0.9972,991
mamographic,"(961, 5)",0.8523,0.8645,,0.8494,0.6005,1361
musk,"(476, 166)",0.9511,0.9241,,0.923,0.986,2949
parkinson,"(756, 753)",0.9348,0.9194,,0.9005,0.9953,5120
risk_factors,"(858, 35)",0.9709,0.9443,,0.9351,0.9215,1246
simulation_crashes,"(540, 18)",0.9284,0.9333,,0.8629,0.873,1109
sonar,"(208, 60)",0.9163,0.9211,,0.8864,0.9802,529
SPECT,"(267, 22)",0.7695,0.7933,,0.75,0.8736,964
SPECTF,"(267, 44)",0.8203,0.8338,,0.7918,0.9657,1081
vertebral_column_data,"(310, 6)",0.955,0.9588,,0.9499,0.7803,942
wholesale,"(440, 7)",0.9554,0.9575,,0.9529,0.8195,1267
average,,0.8554,0.8567,,0.8343,0.8980,1199
