,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
andro,"(49, 30)",6,0.0959,0.096,,0.0899,0.9171,205
atp1d,"(337, 370)",6,0.0484,0.0505,,0.0467,0.9139,3801
atp7d,"(296, 370)",6,0.047,0.0516,,0.0413,0.9657,2993
edm,"(154, 16)",2,0.1194,0.1188,,0.0982,0.8232,519
enb,"(768, 8)",2,0.0227,0.0229,,0.0224,0.7364,1821
ENB2012,"(768, 8)",2,0.0235,0.0236,,0.0231,0.7509,1864
jura,"(359, 15)",3,0.0678,0.0705,,0.0687,0.5489,1358
oes10,"(403, 298)",16,0.0218,0.0221,,0.0225,0.9248,3285
oes97,"(334, 263)",16,0.0293,0.0295,,0.0298,0.9205,2355
osales,"(639, 401)",12,0.0378,0.0403,,0.0362,0.6934,4532
rf1,"(9125, 64)",8,0.0023,0.0264,,0.0019,0.1608,3412
rf2,"(4332, 576)",8,0.0038,0.0253,,0.003,0.2704,7464
scm1d,"(9803, 280)",16,0.0253,0.0474,,0.0247,0.8486,7161
scm20d,"(8966, 61)",16,0.0309,0.0651,,0.0292,0.6451,2656
scpf,"(1137, 23)",3,0.0113,0.0111,,0.0105,0.4481,1709
sf1,"(323, 10)",3,0.0772,0.0756,,0.0727,0.7314,960
sf2,"(1066, 9)",3,0.0321,0.0316,,0.0313,0.5915,1456
slump,"(103, 7)",3,0.1451,0.1472,,0.1426,0.587,265
wq,"(1060, 16)",14,0.1681,0.1727,,0.1608,0.7623,1448
average,,7.63,0.0531,0.0594,,0.0503,0.6968,2593
