,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
birds,"(645, 260)",19,0.9199,0.9035,,0.8184,0.9853,2871
CAL500,"(502, 68)",174,0.5781,0.5882,,0.5394,0.9714,3487
emotions,"(593, 72)",6,0.852,0.8503,,0.8205,0.9721,1234
enron,"(1702, 1001)",53,0.8192,0.7995,,0.7576,0.9768,6242
flags,"(193, 19)",7,0.7458,0.7317,,0.7317,0.8968,392
genbase,"(662, 1185)",27,1,0.9999,,0.9976,0.9623,5877
langlog,"(1460, 1004)",75,0.7575,0.7783,,0.5995,0.9814,6171
medical,"(978, 1449)",45,0.9841,0.9759,,0.9365,0.9528,6759
ng20,"(4379, 1006)",20,0.9631,0.9319,,0.9082,0.9005,5774
scene,"(2407, 294)",6,0.9477,0.9335,,0.9171,0.9877,3154
slashdot,"(3782, 1079)",22,0.8691,0.822,,0.8035,0.883,5860
stackex_chess,"(1675, 585)",227,0.833,0.8356,,0.6776,0.9335,5995
yeast,"(2417, 103)",14,0.7455,0.7239,,0.6623,0.965,1454
average,,53.46,0.8473,0.8365,,0.7823,0.9514,4251.54
