,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
airfoil,"(1503, 5)",0.0373,0.0629,,0.0377,0.3213,1788
AmesHousing,"(2915, 283)",0.0229,0.0265,,0.0228,0.4895,8513
auto_mpg,"(398, 7)",0.0525,0.0531,,0.0526,0.7363,3030
bike_sharing,"(731, 12)",0.0481,0.0537,,0.0481,0.6277,2250
boston_housing,"(506, 14)",0.0577,0.0606,,0.0569,0.5168,2089
california_housing,"(20640, 8)",0.0613,0.0888,,0.061,0.2698,4259
car_imports_1985_imputed,"(201, 63)",0.0362,0.0371,,0.0359,0.6136,2336
Computer_hardware,"(209, 6)",0.0291,0.0296,,0.0293,0.5387,2314
concrete_compressive_strength,"(1030, 8)",0.0397,0.0557,,0.0393,0.4376,4358
concrete_slump_data,"(103, 9)",0.0735,0.0737,,0.0727,0.3969,468
ENB2012_cooling,"(768, 8)",0.0339,0.0347,,0.0336,0.7491,1804
ENB2012_heating,"(768, 8)",0.0112,0.0126,,0.011,0.7425,3993
forest_fires,"(517, 12)",0.304,0.3054,,0.3044,0.7867,5410
PRSA_data,"(41757, 13)",0.0359,0.0777,,0.036,0.4632,6467
slump_dataset,"(103, 9)",0.0682,0.0688,,0.0663,0.6648,331
students_final_math,"(395, 43)",0.1556,0.1571,,0.1538,0.7957,1534
wine_quality_all,"(6497, 12)",0.0741,0.0906,,0.0692,0.3008,4087
wine_quality_red,"(1599, 11)",0.0843,0.097,,0.0776,0.4394,5352
wine_quality_white,"(4898, 11)",0.0645,0.0891,,0.0611,0.303,3417
average,,0.0679,0.0776,,0.0668,0.5365,3358
