,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
blood,"(748, 4)",0.708,0.7525,,0.705,0.6209,5388
breast_cancer_diagnostic,"(569, 30)",0.9836,0.9879,,0.9872,0.9466,5646
breast_cancer_original,"(699, 9)",0.9958,0.9955,,0.9934,0.8772,2870
breast_cancer_prognostic,"(198, 33)",0.5015,0.4993,,0.5226,0.9647,1206
brest_cancer_coimba,"(116, 9)",0.7569,0.7554,,0.7677,0.8739,585
Colonoscopy_green,"(98, 62)",0.9333,0.9282,,0.8987,0.9839,1112
Colonoscopy_hinselmann,"(97, 62)",0.5917,0.5833,,0.4708,0.9749,1164
Colonoscopy_schiller,"(92, 62)",0.6292,0.6277,,0.6754,0.9875,1132
divorce,"(170, 54)",0.9941,0.9941,,0.9457,1,2487
Flowmeters,"(87, 36)",0.9943,0.9943,,0.9514,0.9778,1172
haberman,"(306, 3)",0.6897,0.7,,0.6726,0.6361,3013
hcc-survival,"(165, 49)",0.8331,0.8277,,0.7638,0.9685,2496
ionosphere,"(351, 34)",0.9828,0.9817,,0.9768,0.9449,4391
LSVT_voice_rehabilitation,"(126, 310)",0.8824,0.8824,,0.8654,0.9978,2368
mamographic,"(961, 5)",0.8523,0.8645,,0.8467,0.5913,2531
musk,"(476, 166)",0.9511,0.9241,,0.9298,0.9879,8399
parkinson,"(756, 753)",0.9348,0.9194,,0.8824,0.9969,10559
risk_factors,"(858, 35)",0.9709,0.9443,,0.9309,0.9266,1813
simulation_crashes,"(540, 18)",0.9284,0.9333,,0.8875,0.9143,1547
sonar,"(208, 60)",0.9163,0.9211,,0.8928,0.9859,754
SPECT,"(267, 22)",0.7695,0.7933,,0.7524,0.9041,2085
SPECTF,"(267, 44)",0.8203,0.8338,,0.8177,0.9759,2575
vertebral_column_data,"(310, 6)",0.955,0.9588,,0.9501,0.7976,2722
wholesale,"(440, 7)",0.9554,0.9575,,0.9549,0.8349,3520
average,,0.8554,0.8567,,0.8351,0.9029,2981
