,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
andro,"(49, 30)",6,0.0959,0.096,,0.0968,0.9513,238
atp1d,"(337, 370)",6,0.0484,0.0505,,0.0483,0.9365,4865
atp7d,"(296, 370)",6,0.047,0.0516,,0.0437,0.9679,3934
edm,"(154, 16)",2,0.1194,0.1188,,0.1083,0.8576,686
enb,"(768, 8)",2,0.0227,0.0229,,0.0231,0.7407,2438
ENB2012,"(768, 8)",2,0.0235,0.0236,,0.0236,0.7493,2284
jura,"(359, 15)",3,0.0678,0.0705,,0.0703,0.5569,1644
oes10,"(403, 298)",16,0.0218,0.0221,,0.0237,0.9482,3862
oes97,"(334, 263)",16,0.0293,0.0295,,0.031,0.9441,2927
osales,"(639, 401)",12,0.0378,0.0403,,0.0376,0.7189,5314
rf1,"(9125, 64)",8,0.0023,0.0264,,0.0022,0.1735,4627
rf2,"(4332, 576)",8,0.0038,0.0253,,0.0033,0.348,9742
scm1d,"(9803, 280)",16,0.0253,0.0474,,0.0264,0.8581,8332
scm20d,"(8966, 61)",16,0.0309,0.0651,,0.0307,0.6998,3595
scpf,"(1137, 23)",3,0.0113,0.0111,,0.0104,0.4597,1857
sf1,"(323, 10)",3,0.0772,0.0756,,0.0731,0.7697,921
sf2,"(1066, 9)",3,0.0321,0.0316,,0.0313,0.5945,1431
slump,"(103, 7)",3,0.1451,0.1472,,0.1387,0.6357,261
wq,"(1060, 16)",14,0.1681,0.1727,,0.1639,0.7741,1415
average,,7.63,0.0531,0.0594,,0.0519,0.7202,3178
