,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
addicts,"(238, 3)",0.6497,0.6486,,0.6411,0.5849,803
ALS-imputed-70,"(5324, 76)",0.8033,0.7778,,0.7918,0.9431,7841
breast_cancer-survival-imputed,"(198, 80)",0.6524,0.648,,0.606,0.9796,823
DBCD,"(295, 4919)",0.7549,0.7595,,0.733,0.999,19998
DLBCL,"(240, 7399)",0.6352,0.6388,,0.5762,0.9996,23646
echocardiogram,"(130, 9)",0.4145,0.4148,,0.4199,0.8575,737
FLChain-single_event-imputed,"(7874, 8)",0.8312,0.8253,,0.8331,0.7216,4335
gbsg2,"(686, 8)",0.7022,0.702,,0.703,0.7373,2293
lung,"(228, 8)",0.6216,0.6137,,0.6265,0.8428,998
NHANES_I-imputed,"(9931, 18)",0.8205,0.8117,,0.8136,0.8374,10590
primary_biliary_cirrhosis,"(403, 19)",0.8469,0.8478,,0.8417,0.8625,2265
rotterdam-excl-recurr,"(2982, 11)",0.7954,0.7953,,0.7961,0.7473,2748
rotterdam-incl-recurr,"(2982, 12)",0.9038,0.8964,,0.9069,0.8178,3059
veteran,"(137, 9)",0.7349,0.7326,,0.7277,0.8261,576
whas500,"(500, 14)",0.7449,0.746,,0.7412,0.8347,2309
average,,0.7274,0.7239,,0.7172,0.8394,5535
