daysUntilLastIssue,source.city_initiated,source.android,source.remote_api_created,source.new_map_widget,source.iphone,tag_type.tree,tag_type.street_light,tag_type.graffiti,tag_type.pothole,tag_type.signs,tag_type.overgrowth,tag_type.traffic,tag_type.trash,tag_type.blighted_property,tag_type.sidewalk,latitude,longitude,city.Oakland,city.Chicago,city.NH,city.Richmond,distanceFromCenter,target_num_views,target_num_votes,target_num_comments
0.071428571,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.977586926,0.701039387,0,1,0,0,0.151133031,0.001066098,0,0
0.162087912,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.964483071,0.700899951,0,1,0,0,0.123884241,0.001066098,0,0
0.038461538,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.97427471,0.698754378,0,1,0,0,0.411794083,0,0,0
0.10989011,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.980655849,0.700257509,0,1,0,0,0.264783261,0,0,0
0.695054945,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.078480312,0.000354669,1,0,0,0,0.037915321,0.08315565,0.047619048,0
0.074175824,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.963868585,0.699652409,0,1,0,0,0.287680318,0,0,0
0.686813187,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.012231595,0.906378608,0,0,0,1,0.254104043,0.051172708,0.095238095,0
0.195054945,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.962196681,0.69975511,0,1,0,0,0.288514217,0,0,0
0.151098901,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.968142568,0.700608213,0,1,0,0,0.117217659,0,0,0
0.049450549,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.933753039,0.702577008,0,1,0,0,0.727808528,0,0,0
1,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.00048549,0.906908518,0,0,0,1,0.403100999,0.044776119,0.047619048,0.1
0.46978022,0,0,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.074585638,0.000696088,1,0,0,0,0.078386549,0.021321962,0.047619048,0
0.076923077,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.025166527,0.907803555,0,0,0,1,0.092262959,0.019189765,0.047619048,0
0.195054945,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.971340926,0.70040089,0,1,0,0,0.146640585,0,0,0
0.071428571,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.844928467,0.99982838,0,0,1,0,0.166573434,0.023454158,0.142857143,0
0.129120879,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.992230617,0.699579404,0,1,0,0,0.510240355,0,0,0
0.302197802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011482848,0.9071157,0,0,0,1,0.189176377,0.011727079,0.047619048,0
0.027472527,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.948600096,0.699672213,0,1,0,0,0.48880464,0,0.047619048,0
0.412087912,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.843919314,0.998634464,0,0,1,0,0.027169205,0.146055437,0.142857143,0.05
0.252747253,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.019928144,0.906674331,0,0,0,1,0.147208052,0.058635394,0.047619048,0
0.085164835,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.979495322,0.699854109,0,1,0,0,0.294504914,0,0,0
0.263736264,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.010233691,0.907409602,0,0,0,1,0.1993804,0.004264392,0.047619048,0
0.195054945,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.989433946,0.700888946,0,1,0,0,0.381064369,0,0,0
