frequency,attack-angle,chord-length,free-stream-velocity,suct-side-displacement,norm-sound
6300,4.8,0.0254,31.7,0.000930789,78.4907065
400,7.3,0.2286,71.3,0.0104404,95.881086
5000,5.4,0.1524,31.7,0.00525474,32.7359268
5000,9.5,0.0254,71.3,0.00420654,73.9383625
630,9.9,0.1524,31.7,0.0252785,60.2786715
8000,0,0.0254,31.7,0.000439472,89.9486798
315,17.4,0.0254,39.6,0.0172206,31.2814104
2000,15.4,0.0508,31.7,0.0289853,46.4142314
250,4,0.3048,71.3,0.00497773,61.198713
6300,15.4,0.0508,39.6,0.0282593,16.706996
1600,3.3,0.1016,39.6,0.00245138,78.9507273
500,2,0.2286,55.5,0.00313525,56.6703007
200,0,0.3048,31.7,0.00331266,36.7351823
1000,0,0.0508,39.6,0.000791822,64.5039487
4000,22.2,0.0254,71.3,0.0214178,54.6095142
315,19.7,0.0508,39.6,0.036484,70.4230595
2500,3,0.3048,39.6,0.00495741,44.6246709
630,4.8,0.0254,31.7,0.000930789,44.4013083
1250,19.7,0.0508,71.3,0.0341183,48.142633
2500,5.3,0.2286,39.6,0.00614329,33.9591034
400,4,0.3048,39.6,0.00579636,67.1497328
1600,0,0.0508,39.6,0.000791822,73.1991385
315,8.9,0.1016,39.6,0.0124596,85.0905417
400,8.4,0.0508,39.6,0.00566229,44.2337863
400,6.7,0.1016,31.7,0.00592927,66.253623
250,9.9,0.1524,71.3,0.0193001,84.9549286
2500,3.3,0.1016,55.5,0.002211,78.4667748
800,0,0.1016,39.6,0.00146332,66.5328263
2000,22.2,0.0254,39.6,0.0229028,47.5337038
5000,12.7,0.0254,71.3,0.0121808,68.0671152
1250,1.5,0.3048,71.3,0.00336729,59.8080145
630,7.3,0.2286,31.7,0.0132672,60.6509426
6300,4.2,0.0508,71.3,0.00142788,68.9446114
800,8.4,0.0508,55.5,0.00544854,66.9609381
10000,4.2,0.0508,39.6,0.00152689,36.1289122
1000,17.4,0.0254,55.5,0.0165706,60.1510357
6300,12.3,0.1016,39.6,0.0408268,12.2450608
1000,2,0.2286,31.7,0.00372371,71.6010317
1250,17.4,0.0254,39.6,0.0172206,74.4116787
8000,0,0.1016,71.3,0.00121072,58.7257691
1250,0,0.1016,39.6,0.00146332,76.8234637
250,15.4,0.0508,39.6,0.0282593,51.8866169
1250,17.4,0.0254,31.7,0.0176631,66.2802138
16000,2.7,0.1524,71.3,0.00243851,18.5710107
1250,0,0.1524,71.3,0.0015988,67.9315021
5000,12.3,0.1016,55.5,0.0368233,22.9584918
2000,0,0.3048,39.6,0.00310138,54.0032441
