months_last_donation,tot_donations,tot_donated_ml,months_first_donation
9,8,2000,38
2,1,250,2
16,5,1250,71
23,1,250,23
4,6,1500,23
4,5,1250,28
4,1,250,4
4,1,250,4
14,3,750,52
4,5,1250,35
16,15,3750,87
14,2,500,14
14,2,500,21
21,7,1750,38
4,2,500,52
11,8,2000,48
2,11,2750,46
12,9,2250,60
4,4,1000,43
4,1,250,4
14,4,1000,64
16,2,500,16
2,2,500,10
4,1,250,4
11,2,500,11
2,3,750,52
6,3,750,14
2,7,1750,58
11,3,750,23
14,1,250,14
21,1,250,21
16,2,500,26
21,1,250,21
14,5,1250,64
4,1,250,4
23,38,9500,98
21,13,3250,57
4,4,1000,18
4,2,500,13
23,1,250,23
14,2,500,29
4,8,2000,48
11,1,250,11
4,5,1250,11
20,14,3500,69
4,12,3000,34
2,6,1500,35
16,1,250,16
11,5,1250,18
11,2,500,21
8,8,2000,52
9,11,2750,49
13,7,1750,76
5,24,6000,79
3,16,4000,74
11,11,2750,42
4,7,1750,28
5,11,2750,75
14,1,250,14
4,2,500,9
11,1,250,11
4,2,500,14
23,3,750,62
2,4,1000,35
14,13,3250,57
11,4,1000,16
2,2,500,33
23,2,500,28
2,1,250,2
2,11,2750,79
1,16,4000,35
16,1,250,16
11,2,500,70
23,3,750,39
21,1,250,21
21,3,750,26
4,11,2750,64
2,12,3000,47
16,3,750,35
16,1,250,16
9,2,500,11
11,9,2250,72
16,10,2500,89
4,4,1000,4
2,5,1250,16
11,6,1500,27
1,10,2500,43
11,1,250,11
16,3,750,21
2,5,1250,34
2,2,500,14
21,1,250,21
16,2,500,70
2,4,1000,16
14,1,250,14
11,3,750,40
23,1,250,23
11,6,1500,71
4,6,1500,14
18,8,2000,95
16,1,250,16
2,3,750,75
2,2,500,11
14,7,1750,72
11,2,500,11
4,2,500,4
2,1,250,2
4,7,1750,52
2,8,2000,38
2,10,2500,64
2,1,250,2
4,2,500,29
4,9,2250,55
2,1,250,2
4,2,500,30
3,1,250,3
4,9,2250,40
2,5,1250,11
4,3,750,25
10,8,2000,39
9,1,250,9
2,21,5250,52
16,5,1250,27
14,3,750,28
13,4,1000,21
9,2,500,16
2,6,1500,16
2,41,10250,98
2,6,1500,26
11,1,250,11
3,5,1250,38
12,15,3750,71
14,1,250,14
23,1,250,23
2,1,250,2
21,2,500,23
2,6,1500,26
4,1,250,4
21,3,750,40
4,10,2500,28
2,2,500,2
4,17,4250,71
11,6,1500,58
21,2,500,21
4,6,1500,35
4,5,1250,16
3,10,2500,33
4,8,2000,26
2,44,11000,98
11,2,500,24
2,5,1250,16
11,2,500,16
2,2,500,2
11,5,1250,35
14,3,750,26
9,9,2250,38
11,14,3500,73
4,2,500,4
23,2,500,23
3,14,3500,35
16,2,500,27
14,7,1750,26
16,1,250,16
2,2,500,4
4,6,1500,38
11,7,1750,75
14,3,750,33
11,2,500,52
2,16,4000,81
22,1,250,22
7,2,500,16
16,1,250,16
4,7,1750,58
2,4,1000,26
4,1,250,4
23,4,1000,87
13,3,750,16
11,5,1250,50
4,1,250,4
14,1,250,14
16,3,750,40
4,9,2250,52
21,16,4000,64
4,4,1000,41
4,14,3500,40
4,4,1000,34
21,1,250,21
4,2,500,4
23,12,3000,86
2,1,250,2
7,10,2500,47
3,5,1250,12
7,11,2750,89
11,4,1000,59
7,12,3000,86
2,13,3250,32
2,1,250,2
23,6,1500,45
4,3,750,71
2,1,250,2
2,5,1250,16
23,1,250,23
4,2,500,4
5,6,1500,28
2,3,750,38
4,14,3500,86
2,1,250,2
26,5,1250,49
2,1,250,2
2,9,2250,75
2,2,500,4
3,17,4250,86
11,1,250,11
3,8,2000,50
2,3,750,22
4,13,3250,39
2,6,1500,47
2,7,1750,76
4,1,250,4
16,4,1000,33
21,1,250,21
16,6,1500,40
16,1,250,16
14,5,1250,14
16,6,1500,81
11,4,1000,28
6,22,5500,28
21,2,500,23
21,2,500,26
11,9,2250,38
4,4,1000,14
9,4,1000,65
4,1,250,4
16,3,750,23
2,3,750,4
2,8,2000,28
2,2,500,10
4,4,1000,4
4,1,250,4
23,5,1250,33
2,13,3250,76
14,1,250,14
14,5,1250,28
16,5,1250,60
2,5,1250,47
16,3,750,50
4,3,750,16
25,6,1500,50
2,2,500,11
4,7,1750,25
21,1,250,21
2,2,500,11
2,1,250,2
14,2,500,14
21,1,250,21
11,5,1250,41
14,2,500,14
14,2,500,14
2,4,1000,26
11,3,750,23
2,1,250,2
4,5,1250,58
16,1,250,16
2,3,750,9
9,2,500,52
14,4,1000,28
2,1,250,2
9,9,2250,54
0,13,3250,28
14,8,2000,50
2,4,1000,14
2,1,250,2
16,1,250,16
2,3,750,14
6,17,4250,70
4,2,500,4
2,2,500,4
14,7,1750,45
2,1,250,2
2,6,1500,28
