0,1,2,3
9,8,2000,38
2,1,250,2
21,3,750,35
21,2,500,41
2,6,1500,15
2,3,750,19
14,3,750,26
2,3,750,77
21,3,750,35
2,5,1250,47
16,15,3750,87
11,6,1500,41
11,1,250,11
14,3,750,33
14,1,250,14
13,4,1000,21
2,11,2750,46
11,1,250,11
2,3,750,38
4,1,250,4
11,3,750,76
14,16,4000,98
2,11,2750,79
11,5,1250,33
11,6,1500,28
14,2,500,14
5,14,3500,86
2,1,250,2
14,2,500,14
14,3,750,31
16,7,1750,87
16,4,1000,45
21,1,250,21
14,5,1250,64
4,1,250,4
11,7,1750,64
14,7,1750,73
4,9,2250,52
16,16,4000,77
2,6,1500,15
14,1,250,14
2,3,750,16
16,3,750,21
2,7,1750,14
2,15,3750,49
4,10,2500,28
2,6,1500,35
14,3,750,41
2,1,250,2
9,2,500,26
4,8,2000,46
4,1,250,4
14,1,250,14
1,14,3500,95
3,6,1500,21
4,7,1750,58
4,2,500,4
2,3,750,24
16,1,250,16
4,8,2000,48
11,1,250,11
8,9,2250,58
23,3,750,62
2,2,500,14
14,13,3250,57
4,5,1250,33
14,2,500,14
11,2,500,70
2,1,250,2
4,5,1250,16
1,16,4000,35
16,1,250,16
23,1,250,23
23,1,250,23
23,6,1500,70
16,1,250,16
4,6,1500,35
2,5,1250,16
16,3,750,86
23,14,3500,93
4,5,1250,46
14,3,750,19
14,1,250,14
4,33,8250,98
4,9,2250,28
4,1,250,4
3,10,2500,33
11,2,500,21
14,7,1750,45
4,5,1250,28
4,1,250,4
21,2,500,26
2,11,2750,23
12,11,2750,23
14,1,250,14
16,3,750,21
23,1,250,23
11,2,500,24
1,14,3500,58
16,3,750,50
16,1,250,16
23,1,250,23
4,7,1750,52
16,1,250,16
2,3,750,35
2,12,3000,70
2,1,250,2
8,15,3750,77
4,2,500,4
6,17,4250,70
2,2,500,16
11,3,750,23
2,6,1500,47
2,1,250,2
16,3,750,35
4,4,1000,34
4,2,500,4
2,5,1250,11
4,3,750,25
14,7,1750,26
2,3,750,52
2,13,3250,32
14,2,500,14
11,8,2000,72
3,2,500,23
4,4,1000,43
2,6,1500,16
2,41,10250,98
2,3,750,11
14,4,1000,22
12,11,2750,39
2,5,1250,63
14,3,750,35
23,3,750,48
6,3,750,26
21,1,250,21
2,2,500,4
4,1,250,4
23,2,500,28
2,8,2000,28
2,4,1000,16
4,17,4250,71
4,2,500,41
16,1,250,16
2,2,500,11
2,8,2000,38
4,16,4000,38
4,8,2000,26
4,9,2250,28
16,6,1500,40
2,12,3000,52
11,6,1500,58
3,17,4250,86
11,8,2000,48
14,6,1500,51
2,1,250,2
11,8,2000,41
2,5,1250,34
16,6,1500,81
3,14,3500,35
16,1,250,16
8,10,2500,63
16,1,250,16
1,9,2250,51
2,2,500,11
11,3,750,37
14,1,250,14
23,3,750,33
2,12,3000,95
21,1,250,21
7,2,500,16
16,1,250,16
11,3,750,14
4,9,2250,46
4,1,250,4
2,1,250,2
16,7,1750,64
14,1,250,14
4,1,250,4
9,4,1000,65
16,7,1750,93
9,9,2250,38
16,4,1000,28
2,2,500,23
4,6,1500,14
11,8,2000,52
14,3,750,83
4,6,1500,28
21,1,250,21
2,1,250,2
2,9,2250,75
4,10,2500,28
11,2,500,25
16,1,250,16
11,2,500,11
3,5,1250,12
2,1,250,2
4,8,2000,21
21,16,4000,64
5,11,2750,75
4,7,1750,25
23,1,250,23
2,4,1000,16
4,1,250,4
11,14,3500,73
4,6,1500,35
2,1,250,2
2,43,10750,86
2,1,250,2
4,9,2250,55
2,2,500,4
2,12,3000,98
16,2,500,16
4,14,3500,86
2,4,1000,35
2,5,1250,16
2,1,250,2
13,8,2000,26
4,1,250,4
21,7,1750,38
23,3,750,39
11,1,250,11
14,1,250,14
7,10,2500,47
16,4,1000,58
14,16,4000,70
6,22,5500,28
16,3,750,40
16,1,250,16
4,1,250,4
4,4,1000,14
14,4,1000,38
4,6,1500,47
15,5,1250,33
2,14,3500,48
2,14,3500,57
2,12,3000,82
2,5,1250,16
4,1,250,4
16,8,2000,76
2,13,3250,76
21,3,750,26
14,4,1000,26
14,2,500,35
6,2,500,11
21,1,250,21
2,5,1250,37
21,1,250,21
2,5,1250,33
4,6,1500,35
23,5,1250,58
7,11,2750,89
4,3,750,16
14,2,500,14
23,3,750,40
16,4,1000,23
20,14,3500,69
11,4,1000,28
4,5,1250,23
2,2,500,33
2,1,250,2
4,4,1000,46
21,2,500,23
2,8,2000,35
18,8,2000,95
14,4,1000,28
9,9,2250,45
4,7,1750,62
0,13,3250,28
4,2,500,31
2,4,1000,14
2,3,750,22
21,1,250,21
2,4,1000,23
4,9,2250,40
4,2,500,4
2,2,500,4
11,3,750,26
11,9,2250,38
2,4,1000,16
21,13,3250,57
