0,1,2,3,4,5,6
3,19219,1840,1658,8195,349,483
1,9193,4885,2157,327,780,548
3,9898,961,2861,3151,242,833
3,894,1703,1841,744,759,1153
3,5414,717,2155,2399,69,750
3,11442,1032,582,5390,74,247
3,9561,2217,1664,1173,222,447
1,18226,659,2914,3752,586,578
3,15587,1014,3970,910,139,1378
3,219,9540,14403,283,7818,156
3,56159,555,902,10002,212,2916
3,18291,1266,21042,5373,4173,14472
3,43088,2100,2609,1200,1107,823
3,3136,8630,13586,5641,4666,1426
3,13146,1124,4523,1420,549,497
1,1107,11711,23596,955,9265,710
3,7005,829,3009,430,610,529
1,13569,346,489,2077,44,659
2,4414,1610,1431,3498,387,834
3,3097,4230,16483,575,241,2080
2,27082,6817,10790,1365,4111,2139
3,1210,10044,22294,1741,12638,3137
2,918,20655,13567,1465,6846,806
3,5224,7603,8584,2540,3674,238
3,12377,865,3204,1398,149,452
3,117,6264,21203,228,8682,1111
1,3067,13240,23127,3941,9959,731
3,22647,9776,13792,2915,4482,5778
3,24904,3836,5330,3443,454,3178
2,6468,12867,21570,1840,7558,1543
1,514,8323,6869,529,93,1040
2,542,899,1664,414,88,522
3,13537,4257,5034,155,249,3271
1,30624,7209,4897,18711,763,2876
3,11535,1666,1428,6838,64,743
3,759,18664,1660,6114,536,4100
3,31714,12319,11757,287,3881,2931
3,27901,3749,6964,4479,603,2503
3,6300,1289,2591,1170,199,326
1,2806,10765,15538,1374,5828,2388
3,4692,6128,8025,1619,4515,3105
3,22686,134,218,3157,9,548
3,11405,596,1638,3347,69,360
3,13779,1970,1648,596,227,436
3,2438,8002,9819,6269,3459,3
3,6022,3354,3261,2507,212,686
3,11519,6152,10868,584,5121,1476
2,6987,1020,3007,416,257,656
1,11072,5989,5615,8321,955,2137
3,18044,1080,2000,2555,118,1266
1,20782,5921,9212,1759,2568,1553
3,85,20959,45828,36,24231,1423
2,2137,3737,19172,1274,17120,142
3,11594,7779,12144,3252,8035,3029
3,1982,3218,1493,1541,356,1449
3,22039,8384,34792,42,12591,4430
3,717,3587,6532,7530,529,894
3,11173,2521,3355,1517,310,222
3,4515,11991,9345,2644,3378,2213
2,243,12939,8852,799,3909,211
3,28257,944,2146,3881,600,270
3,11867,3327,4814,1178,3837,120
3,3087,8080,8282,661,721,36
3,9602,1316,1263,2921,841,290
2,1479,14982,11924,662,3891,3508
3,2615,873,1524,1103,514,468
3,834,11577,11522,275,4027,1856
3,40254,640,3600,1042,436,18
3,12238,7108,6235,1093,2328,2079
3,1821,1364,3450,4006,397,361
3,18827,3677,1988,118,516,201
3,7842,6046,8552,1691,3540,1874
3,8590,3045,7854,96,4095,225
3,11243,2408,2593,15348,108,1886
3,12126,3199,6975,480,3140,545
3,11002,7075,4945,1152,120,395
1,15603,2703,3833,4260,325,2563
3,2771,6939,15541,2693,6600,1115
3,9434,1042,1235,436,256,396
3,38793,3154,2648,1034,96,1242
3,11134,793,2988,2715,276,610
1,6134,23133,33586,6746,18594,5121
3,5417,9933,10487,38,7572,1282
3,2343,7845,11874,52,4196,1697
3,8797,10646,14886,2471,8969,1438
3,35942,38369,59598,3254,26701,2017
1,5909,23527,13699,10155,830,3636
3,25066,5010,5026,9806,1092,960
2,29635,2335,8280,3046,371,117
1,18692,3838,593,4634,28,1215
3,8257,3880,6407,1646,2730,344
3,1502,1979,2262,425,483,395
1,1956,891,5226,1383,5,1328
3,9,1534,7417,175,3468,27
3,18601,6327,10099,2205,2767,3181
1,2427,7097,10391,1127,4314,1468
3,21465,7243,10685,880,2386,2749
3,4625,8579,7030,4575,2447,1542
3,4760,1227,3250,3724,1247,1145
2,2599,3688,13829,492,10069,59
3,20398,1137,3,4407,3,975
3,18073,4613,3444,4324,914,715
2,161,7460,24773,617,11783,2410
1,15671,5279,2406,559,562,572
3,514,7677,19805,937,9836,716
3,36050,1642,2961,4787,500,1621
3,200,25862,19816,651,8773,6250
3,2932,6459,7677,2561,4573,1386
3,4020,3234,1498,2395,264,255
3,6269,1095,1980,3860,609,2162
3,403,254,610,774,54,63
3,9612,577,935,1601,469,375
2,9759,25071,17645,1128,12408,1625
3,5567,871,2010,3383,375,569
3,9198,27472,32034,3232,18906,5130
1,8475,1931,1883,5004,3593,987
3,6353,8808,7684,2405,3516,7844
3,5924,584,542,4052,283,434
3,11314,3090,2062,35009,71,2698
1,11908,8053,19847,1069,6374,698
3,255,5758,5923,349,4595,1328
3,140,8847,3823,142,1062,3
3,1198,2602,8335,402,3843,303
2,3,333,7021,15601,15,550
3,29703,12051,16027,13135,182,2204
3,3428,2380,2028,1341,1184,665
3,12434,540,283,1092,3,2233
3,29729,4786,7326,6130,361,1083
3,49063,3965,4252,5970,1041,1404
3,7780,2495,9464,669,2518,501
3,20874,1563,1783,2320,550,772
3,327,918,4710,74,334,11
1,25203,11487,9490,5065,284,6854
3,1020,8816,12121,134,4508,1080
1,5041,1115,2856,7496,256,375
3,17773,1366,2474,3378,811,418
3,37036,7152,8253,2995,20,3
3,5963,3648,6192,425,1716,750
2,10617,1795,7647,1483,857,1233
3,630,11095,23998,787,9529,72
3,18840,1371,3135,3001,352,184
3,190,727,2012,245,184,127
3,8170,6448,1139,2181,58,247
3,6338,2256,1668,1492,311,686
3,6211,337,683,1089,41,296
3,10362,9232,11009,737,3537,2342
3,36817,3045,1493,4802,210,1824
3,4591,15729,16709,33,6956,433
3,8190,6343,9794,1285,1901,1780
3,2787,1698,2510,65,477,52
1,1073,9679,15445,61,5980,1265
3,31812,1433,1651,800,113,1440
3,31276,1917,4469,9408,2381,4334
3,355,7704,14682,398,8077,303
3,6633,2096,4563,1389,1860,1892
3,9670,7027,10471,541,4618,65
1,7363,475,585,1112,72,216
2,3996,11103,12469,902,5952,741
1,18044,1475,2046,2532,130,1158
3,2838,3086,4329,3838,825,1060
3,29955,4362,5428,1729,862,4626
3,17565,3686,4657,1059,1803,668
3,12759,7330,4533,1752,20,2631
2,7034,1492,2405,12569,299,1117
3,8352,2820,1293,779,656,144
3,2926,3195,3268,405,1680,693
3,2446,7260,3993,5870,788,3095
1,2153,1115,6684,4324,2894,411
3,5065,5499,11055,364,3485,1063
2,444,879,2060,264,290,259
1,11092,5008,5249,453,392,373
2,8565,4980,67298,131,38102,1215
3,3009,521,854,3470,949,727
3,2612,4339,3133,2088,820,985
3,19746,2872,2006,2601,468,503
2,1774,3696,2280,514,275,834
3,39679,3944,4955,1364,523,2235
3,3366,2884,2431,977,167,1104
3,22335,1196,2406,2046,101,558
2,25977,3587,2464,2369,140,1092
1,6202,7775,10817,1183,3143,1970
2,32717,16784,13626,60869,1272,5609
1,23257,1372,1677,982,429,655
1,3062,6154,13916,230,8933,2784
1,20893,1222,2576,3975,737,3628
3,23632,6730,3842,8620,385,819
2,5283,13316,20399,1809,8752,172
3,16731,3922,7994,688,2371,838
3,14531,15488,30243,437,14841,1867
3,13624,295,1381,890,43,84
1,56083,4563,2124,6422,730,3321
3,6884,1046,1167,2069,593,378
3,20105,1887,1939,8164,716,790
3,9396,11601,15775,2896,7677,1295
3,491,10473,11532,744,5611,224
1,11210,3576,5119,561,1682,2398
3,14903,2032,2479,576,955,328
3,5809,735,803,1393,79,429
1,6373,780,950,878,288,285
1,8656,2746,2501,6845,694,980
2,9784,925,2405,4447,183,297
3,11170,10769,8814,2194,1976,143
3,3347,4051,6996,239,1538,301
3,26539,4753,5091,220,10,340
3,22615,5410,7198,3915,1777,5185
3,7864,542,4042,9735,165,46
3,8533,5506,5160,13486,1377,1498
1,1838,6380,2824,1218,1216,295
1,1537,3748,5838,1859,3381,806
3,31012,16687,5429,15082,439,1163
3,16260,594,1296,848,445,258
1,2541,4737,6089,2946,5316,120
3,19913,6759,13462,1256,5141,834
3,5531,15726,26870,2367,13726,446
3,3884,3801,1641,876,397,4829
3,10405,1596,1096,8425,399,318
3,5876,6157,2933,839,370,4478
1,31614,489,1495,3242,111,615
3,4967,21412,28921,1798,13583,1163
2,5113,1486,4583,5127,492,739
1,12119,28326,39694,4736,19410,2870
3,1689,6964,26316,1456,15469,37
3,955,5479,6536,333,2840,707
1,1869,577,572,950,4762,203
3,10850,7555,14961,188,6899,46
3,17623,4280,7305,2279,960,2616
3,25767,3613,2013,10303,314,1384
3,5509,1461,2251,547,187,409
3,44466,54259,55571,7782,24171,6465
3,16225,1825,1765,853,170,1067
3,42312,926,1510,1718,410,1819
3,7823,6245,6544,4154,4074,964
3,27329,1449,1947,2436,204,1333
3,8708,3634,6100,2349,2123,5137
1,8885,2428,1777,1777,430,610
3,97,3605,12400,98,2970,62
1,7858,1110,1094,6818,49,287
3,3463,9250,2368,779,302,1627
3,8861,3783,2223,633,1580,1521
3,6990,3880,5380,1647,319,1160
3,23,2616,8118,145,3874,217
1,9670,2280,2112,520,402,347
1,2362,6551,11364,913,5957,791
2,7127,1375,2201,2679,83,1059
2,17327,2374,2842,1149,351,925
3,22925,73498,32114,987,20070,903
3,1289,3328,2022,531,255,1774
3,5969,1990,3417,5679,1135,290
3,7107,1012,2974,806,355,1142
3,16165,4230,7595,201,4003,57
3,76237,3473,7102,16538,778,918
1,53205,4959,7336,3012,967,818
3,30379,13252,5189,321,51,1450
3,10253,1114,3821,397,964,412
3,9385,1530,1422,3019,227,684
3,3,2920,6252,440,223,709
3,19899,5332,8713,8132,764,648
3,3366,5403,12974,4400,5977,1744
1,2344,10678,3828,1439,1566,490
3,17770,4591,1617,9927,246,532
1,18567,1895,1393,1801,244,2100
3,37,1275,22272,137,6747,110
3,13265,1196,4221,6404,507,1788
2,2886,5302,9785,364,6236,555
3,12669,9656,7561,214,2674,1338
3,9413,8259,5126,666,1795,1451
3,3103,14069,21955,1668,6792,1452
3,4420,5139,2661,8872,1321,181
3,1640,3259,3655,868,1202,1653
3,16117,46197,92780,1026,40827,2944
3,1420,10810,16267,1593,6766,1838
3,14100,2132,3445,1336,1491,548
3,1531,8397,6981,247,2505,1236
3,12579,11114,17569,805,6457,1519
3,20049,1891,2362,5343,411,933
3,7149,2428,699,6316,395,911
3,7388,1882,2174,720,47,537
3,5387,4979,3343,825,637,929
3,7769,1936,2177,926,73,520
3,622,55,137,75,7,8
3,15615,12653,19858,4425,7108,2379
3,260,8675,13430,1116,7015,323
3,45640,6958,6536,7368,1532,230
