ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT
0.482758621,0.256410256,0.5,0.377777778,0.46,0.368421053,0.480952381,0.441558442,0.285714286,0.48,0.183908046,0.404255319,0.813333333,0.567567568,0.180232558,0.417582418
0.25862069,0.102564103,0.218181818,0.333333333,0.8,0.368421053,0.2,0.168831169,0.285714286,0.36,0.379310345,0.829787234,0.693333333,0.891891892,0.412790698,0.747252747
0.586206897,0.025641026,0.990909091,0.0,0.02,0.0,0.80952381,0.025974026,0.628571429,0.0,0.988505747,0.0,0.0,0.027027027,0.895348837,0.076923077
0.775862069,0.256410256,0.936363636,0.133333333,0.02,0.026315789,0.671428571,0.402597403,0.742857143,0.32,0.885057471,0.361702128,0.12,0.594594595,0.720930233,0.296703297
0.551724138,0.025641026,0.990909091,0.022222222,0.06,0.184210526,0.885714286,0.116883117,0.685714286,0.36,0.735632184,0.617021277,0.36,0.891891892,0.796511628,0.318681319
0.517241379,0.051282051,0.990909091,0.0,0.02,0.026315789,0.833333333,0.090909091,0.571428571,0.0,0.988505747,0.0,0.0,0.027027027,0.895348837,0.032967033
0.672413793,0.205128205,0.954545455,0.133333333,0.02,0.026315789,0.733333333,0.311688312,0.657142857,0.16,0.965517241,0.106382979,0.013333333,0.108108108,0.831395349,0.175824176
0.517241379,0.025641026,0.990909091,0.0,0.03,0.026315789,0.9,0.012987013,0.571428571,0.0,0.988505747,0.0,0.026666667,0.108108108,0.941860465,0.043956044
0.5,0.205128205,0.636363636,0.444444444,0.58,0.473684211,0.823809524,0.103896104,0.657142857,0.32,0.712643678,0.659574468,0.426666667,1.0,0.848837209,0.197802198
0.534482759,0.230769231,0.118181818,0.133333333,1.0,0.078947368,1.0,0.38961039,0.771428571,0.32,0.563218391,0.829787234,0.853333333,0.702702703,0.970930233,0.274725275
0.534482759,0.051282051,0.990909091,0.0,0.02,0.026315789,0.90952381,0.064935065,0.542857143,0.2,0.724137931,0.70212766,0.306666667,0.891891892,0.761627907,0.450549451
0.362068966,0.128205128,0.363636364,0.177777778,0.73,0.157894737,0.40952381,0.337662338,0.371428571,0.28,0.310344828,0.489361702,0.826666667,0.513513514,0.5,0.43956044
0.534482759,0.025641026,0.990909091,0.0,0.13,0.131578947,0.938095238,0.012987013,0.657142857,0.04,0.988505747,0.021276596,0.173333333,0.189189189,0.98255814,0.043956044
0.344827586,0.230769231,0.309090909,0.4,0.81,0.131578947,0.533333333,0.805194805,0.342857143,0.28,0.275862069,0.553191489,0.933333333,0.513513514,0.651162791,0.483516484
0.534482759,0.0,0.990909091,0.0,0.03,0.026315789,0.880952381,0.025974026,0.457142857,0.32,0.701149425,0.765957447,0.333333333,0.945945946,0.715116279,0.626373626
0.655172414,0.256410256,0.972727273,0.066666667,0.03,0.026315789,0.766666667,0.103896104,0.657142857,0.2,0.988505747,0.042553191,0.0,0.027027027,0.872093023,0.076923077
0.534482759,0.025641026,0.990909091,0.0,0.01,0.0,0.847619048,0.038961039,0.571428571,0.04,0.988505747,0.042553191,0.0,0.054054054,0.872093023,0.120879121
0.603448276,0.256410256,0.763636364,0.533333333,0.3,0.552631579,0.685714286,0.844155844,0.2,0.48,0.206896552,0.680851064,0.893333333,0.756756757,0.220930233,0.703296703
0.655172414,0.230769231,0.972727273,0.066666667,0.08,0.210526316,0.785714286,0.532467532,1.0,0.52,0.91954023,0.14893617,0.026666667,0.135135135,0.656976744,0.384615385
0.706896552,0.256410256,0.963636364,0.088888889,0.03,0.026315789,0.785714286,0.350649351,0.742857143,0.24,0.965517241,0.063829787,0.04,0.108108108,0.860465116,0.285714286
0.534482759,0.025641026,0.990909091,0.0,0.05,0.078947368,0.838095238,0.090909091,0.771428571,0.16,0.91954023,0.212765957,0.48,0.594594595,0.941860465,0.164835165
0.551724138,0.076923077,0.972727273,0.088888889,0.06,0.105263158,0.876190476,0.051948052,0.571428571,0.08,0.942528736,0.170212766,0.066666667,0.135135135,0.889534884,0.230769231
0.672413793,0.333333333,0.963636364,0.133333333,0.02,0.026315789,0.757142857,0.246753247,0.685714286,0.24,0.977011494,0.063829787,0.0,0.054054054,0.872093023,0.208791209
0.172413793,0.256410256,0.345454545,0.688888889,0.69,0.578947368,0.185714286,0.649350649,0.314285714,0.56,0.333333333,0.659574468,0.826666667,0.648648649,0.459302326,0.736263736
0.620689655,0.076923077,0.909090909,0.244444444,0.41,0.631578947,0.957142857,0.064935065,0.742857143,0.32,0.931034483,0.212765957,0.32,0.513513514,0.947674419,0.153846154
0.551724138,0.051282051,0.990909091,0.0,0.02,0.0,0.733333333,0.077922078,0.6,0.4,0.827586207,0.574468085,0.2,0.702702703,0.73255814,0.472527473
