Xloc,Yloc,Landuse.1,Landuse.2,Landuse.3,Landuse.4,Rock.1,Rock.2,Rock.3,Rock.4,Rock.5,Cr,Ni,Pb,Zn
0.905622037,0.124467673,0,0,1,0,0,0,0,0,1,0.376124775,0.354158532,0.065405943,0.155850792
0.047414766,0.285133566,1,0,0,0,0,0,1,0,0,0.862027594,0.590003905,0.163941419,0.25975132
0.4985324,0.130662021,1,0,0,0,1,0,0,0,0,0.562087582,0.268254588,0.134082184,0.177993528
0.346127794,0.3343012,0,0,1,0,0,0,1,0,0,0.520095981,0.412729403,0.438362008,0.424970192
0.766764507,0.220480062,0,0,1,0,0,1,0,0,0,0.560887822,0.593908629,0.135504052,0.258048033
0.775344322,0.631242741,0,0,1,0,0,0,0,0,1,0.407918416,0.386177275,0.146878999,0.20183955
0.831338903,0.31358885,0,1,0,0,0,1,0,0,0,0.611877624,0.539242483,0.107066686,0.288707205
0.96861594,0.164730933,0,0,1,0,0,1,0,0,0,0.361727654,0.368215541,0.062562207,0.143927781
0.68254685,0.691831204,0,1,0,0,0,0,1,0,0,0.340131974,0.188598204,0.030427982,0.106455459
0.275005645,0.255323268,0,0,1,0,0,0,1,0,0,0.449910018,0.290901991,0.081473056,0.215465849
0.716640325,0.825590399,0,0,1,0,1,0,0,0,0,0.416916617,0.232331121,0.010948386,0.152444217
0.274328291,0.256291134,0,0,1,0,0,0,1,0,0,0.472705459,0.351034752,0.080051187,0.247828309
0.545721382,0.143050716,0,0,1,0,1,0,0,0,0,0.419316137,0.248730964,0.056448173,0.252597513
0.624068639,0.141114983,0,0,1,0,0,0,1,0,0,0.565086983,0.440062476,0.786577563,1.0
0.658162113,0.816298877,0,1,0,0,0,0,0,0,1,0.670065987,0.346349082,0.085738661,0.407937319
0.251072477,0.282036392,0,0,0,1,0,1,0,0,0,0.397720456,0.31120656,0.069529362,0.193323114
0.692707157,0.674603175,0,1,0,0,0,0,1,0,0,0.862027594,0.390081999,0.118441632,0.326179526
0.705802664,0.301974448,0,0,1,0,0,1,0,0,0,0.455908818,0.472862163,0.213706811,0.232498723
0.844660194,0.20596206,1,0,0,0,0,1,0,0,0,0.374925015,0.301054276,0.121285369,0.096235735
0.570331903,0.572590012,0,1,0,0,0,1,0,0,0,0.530893821,0.328387349,0.027157685,0.145631068
0.698577557,0.680603949,0,1,0,0,0,0,1,0,0,0.718056389,0.464271769,0.168207024,0.315959802
0.85820727,0.099690283,0,0,1,0,0,0,0,0,1,0.362927415,0.363529871,0.063273141,0.162663941
0.712801987,0.630274874,0,0,1,0,0,1,0,0,0,0.378524295,0.438500586,0.158253946,0.225685573
0.417701513,0.698993419,0,0,1,0,1,0,0,0,0,0.415116977,0.17219836,0.082894924,0.09282916
0.783698352,0.287456446,0,0,1,0,0,1,0,0,0,0.602879424,0.632955877,0.212284942,0.338102538
0.39105893,0.010840108,0,0,1,0,0,1,0,0,0,0.520095981,0.440062476,0.090004266,0.217169136
0.415895236,0.35675571,0,0,1,0,0,0,0,0,1,0.581883623,0.51190941,0.295890801,0.472151252
0.787310905,0.461866047,1,0,0,0,0,1,0,0,0,0.482303539,0.476766888,0.067680933,0.162663941
0.108376609,0.203639179,0,0,1,0,0,0,1,0,0,0.389322136,0.258102304,0.060287217,0.166070516
0.536238429,0.438830817,0,0,1,0,0,1,0,0,0,0.413917217,0.436157751,0.09697142,0.230284449
0.182885527,0.014518002,0,0,0,1,0,0,1,0,0,0.442711458,0.31276845,0.163941419,0.213762562
0.13885753,0.162988773,0,0,1,0,1,0,0,0,0,0.282543491,0.115970324,0.129816579,0.09282916
0.527432829,0.608401084,0,0,1,0,0,0,0,0,1,0.25794841,0.091761031,0.009953078,0.000851644
0.547527659,0.850174216,1,0,0,0,1,0,0,0,0,0.368926215,0.232331121,0.065690317,0.09282916
0.610747347,0.24970964,1,0,0,0,0,1,0,0,0,0.334133173,0.471300273,0.232759846,0.286833589
0.634906299,0.6656988,0,0,1,0,0,0,1,0,0,0.460707858,0.358063257,0.220816152,0.276784193
0.420410928,0.145180023,0,0,1,0,1,0,0,0,0,0.181163767,0.043342444,0.049338831,0.054845852
0.454504403,0.278939218,0,1,0,0,0,1,0,0,0,0.577684463,0.461928934,0.155268022,0.23556464
0.680289004,0.891598916,0,1,0,0,1,0,0,0,0,0.538692262,0.318235064,0.064410636,0.470958951
0.714608264,0.41540844,1,0,0,0,0,1,0,0,0,0.49190162,0.457243264,0.182425707,0.171180378
0.922781666,0.191250484,0,0,1,0,0,1,0,0,0,0.632873425,0.492385787,0.072088725,0.223982286
0.701964326,0.127564847,0,0,1,0,0,1,0,0,0,0.463107379,0.496290512,0.110336983,0.276273207
0.492436216,0.587301587,0,0,1,0,0,0,0,0,1,0.50689862,0.324482624,0.069387175,0.171180378
0.483630616,0.605110337,0,0,1,0,0,0,0,0,1,0.281943611,0.059742288,0.112754159,0.155850792
0.444795665,0.561169183,0,0,0,1,0,0,0,0,1,0.289142172,0.080046857,0.037963885,0.094532448
0.502144954,0.305071622,1,0,0,0,0,1,0,0,0,0.404919016,0.434595861,0.079340253,0.119911429
0.140663807,0.195702671,0,1,0,0,0,0,1,0,0,0.832033593,0.472081218,0.738376226,0.491398399
0.961616618,0.163569493,0,0,1,0,0,1,0,0,0,0.484103179,0.425224522,0.050618513,0.195026401
0.743508693,0.610336818,1,0,0,0,0,1,0,0,0,0.374925015,0.31276845,0.055595052,0.128598195
0.403477083,0.078397213,0,0,1,0,1,0,0,0,0,0.24055189,0.089418196,0.059434096,0.09282916
0.865658162,0.176538908,0,0,1,0,0,0,0,0,1,0.353929214,0.229207341,0.064268449,0.137114631
0.445698803,0.673441734,0,0,1,0,1,0,0,0,0,0.271145771,0.053494729,0.021185838,0.042922841
0.543463536,0.145180023,0,0,1,0,1,0,0,0,0,0.441511698,0.254197579,0.069671548,0.31766309
0.389930007,0.186024003,0,1,0,0,1,0,0,0,0,0.461307738,0.280749707,0.094269871,0.191619826
0.450891849,0.104529617,0,0,1,0,1,0,0,0,0,0.421115777,0.276064037,0.099957344,0.138817919
0.617972454,0.598722416,0,0,1,0,0,1,0,0,0,0.661067786,0.429910191,0.219394284,0.276784193
0.724317002,0.634146341,0,0,1,0,0,1,0,0,0,0.361727654,0.337758688,0.220816152,0.2086527
0.591104087,0.813975997,0,0,1,0,1,0,0,0,0,0.290341932,0.134713003,0.035120148,0.074092999
0.417475728,0.700154859,0,0,1,0,1,0,0,0,0,0.485902819,0.168293635,0.064695009,0.120081758
0.869044931,0.621757646,0,1,0,0,0,0,1,0,0,0.475704859,0.390081999,0.097113607,0.237608585
0.713027772,0.416182733,1,0,0,0,0,1,0,0,0,0.305938812,0.307301835,0.141191526,0.140521206
0.54414089,0.850754936,1,0,0,0,1,0,0,0,0,0.379124175,0.252635689,0.035973269,0.072389712
0.665387221,0.62485482,0,1,0,0,0,1,0,0,0,0.415116977,0.324482624,0.088582397,0.171180378
0.212689095,0.193766938,0,0,1,0,0,0,0,0,1,0.964007199,0.277625927,0.109910422,0.213762562
