Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr
0.097046414,0.0,0.961538462,0.1,0.520547945,0.997367651,0.181331293
0.050632911,0.564766839,0.534615385,0.4125,0.109589041,0.538169055,0.533282326
0.033755274,0.0,0.873076923,1.0,0.109589041,0.122842937,0.812547819
0.82278481,0.0,0.653846154,0.0,0.109589041,0.56156771,0.632746748
0.119409283,0.741968912,0.916538462,0.505,0.184931507,0.512430535,0.045906656
0.105485232,0.766839378,0.734615385,0.2375,0.794520548,0.386077801,0.391736802
0.725738397,0.0,0.546153846,0.725,0.383561644,0.596665692,0.150726855
0.746835443,0.0,0.619230769,0.5875,0.109589041,0.418250951,0.445294568
0.199578059,0.794818653,0.92,0.2375,0.212328767,0.620649313,0.001147666
0.092827004,0.601036269,0.573076923,0.1875,0.726027397,0.716583796,0.303749044
0.772151899,0.0,0.626923077,0.35,0.315068493,0.462123428,0.517980107
0.077637131,0.632642487,0.923076923,0.24875,0.157534247,0.756946476,0.045524101
0.76371308,0.652849741,0.0,0.625,0.109589041,0.447499269,0.368783474
0.097890295,0.001554404,0.923076923,0.91875,0.328767123,0.213512723,0.767023718
0.679324895,0.554404145,0.526923077,0.5125,0.109589041,0.49722141,0.055087988
0.122362869,0.0,1.0,0.2875,0.589041096,0.441649605,0.713083397
0.776371308,0.0,0.630769231,0.375,0.04109589,0.473822755,0.510328998
0.147679325,0.839896373,0.917307692,0.075,0.205479452,0.717461246,0.003060444
0.772151899,0.658031088,0.630769231,0.6375,0.109589041,0.038022814,0.315225708
0.469620253,0.523316062,0.919615385,0.11125,0.226027397,0.720093595,0.0
0.780590717,0.0,0.573076923,0.325,0.246575342,0.710734133,0.261667942
0.513924051,0.455958549,0.921538462,0.19125,0.219178082,0.675343668,0.020657995
1.0,0.0,0.0,0.375,0.178082192,0.892073706,0.342004591
0.151054852,0.820207254,0.921153846,0.08,0.205479452,0.715413864,0.013389441
0.026582278,0.475647668,0.922307692,0.51,0.123287671,0.751096812,0.024866106
0.014767932,0.316580311,0.918846154,0.28125,0.089041096,0.905820415,0.156082632
0.01350211,0.158031088,0.919230769,0.1175,0.061643836,0.937116116,0.390589135
0.485232068,0.393782383,0.373076923,0.425,0.246575342,0.371453641,0.690130069
0.071729958,0.580310881,0.553846154,0.75,0.383561644,0.628838842,0.066564652
0.683544304,0.554404145,0.0,0.625,0.383561644,0.505995905,0.399387911
0.067510549,0.0,0.919230769,0.5,0.109589041,0.859900556,0.166029074
0.033755274,0.549222798,0.523076923,0.6,0.383561644,0.125767768,0.927314461
0.573839662,0.424870466,0.403846154,0.625,0.315068493,0.573267037,0.150726855
0.017299578,0.003108808,0.805769231,0.36,0.01369863,0.842644048,0.568477429
0.241772152,0.001554404,0.923076923,0.9275,0.308219178,0.21234279,0.653022188
0.11814346,0.777202073,0.0,0.275,0.520547945,0.921322024,0.338179036
0.780590717,0.601036269,0.0,0.45,0.383561644,0.3217315,0.659525631
0.666666667,0.549222798,0.523076923,0.575,0.452054795,0.122842937,0.47972456
0.729957806,0.0,0.55,0.1,0.383561644,0.602515355,0.625095639
0.670886076,0.502590674,0.0,0.7375,0.315068493,0.655162328,0.169854629
0.042194093,0.461139896,0.442307692,0.525,0.315068493,0.444574437,0.720734507
0.037974684,0.549222798,0.526923077,0.6125,0.109589041,0.488446914,0.475899005
0.662447257,0.549222798,0.523076923,0.5875,0.109589041,0.114068441,0.525631217
0.021097046,0.67357513,0.642307692,0.175,0.452054795,0.511845569,0.552410099
0.046413502,0.564766839,0.534615385,0.4125,0.178082192,0.175489909,1.0
