std_temp,std_pH,conduct,o2,o2sat,co2,hardness,no2,no3,nh4,po4,cl,sio2,kmno4,k2cr2o7,bod
0.308823516,0.434782646,0.169505273,0.465686221,0.355452183,0.044715491,0.253588534,0.006578929,0.096247949,0.005683199,0.006837635,0.028662361,0.058201149,0.010615739,0.009945431,0.003759404
0.341911864,0.217391323,0.201946463,0.504901952,0.393913754,0.101625983,0.320574141,0.006578929,0.115823833,0.000988393,0.011965801,0.035031757,0.111111077,0.009907974,0.005774732,0.017543887
0.669117648,0.304347795,0.462287155,0.421568658,0.399408224,0.0,0.688995283,0.125,0.097879259,0.025698032,0.07863244,0.466560554,0.375661479,0.072186824,0.112608281,0.249373397
0.139705961,0.217391323,0.197891303,0.691176464,0.468723559,0.0,0.167464078,0.013157859,0.119086453,0.00420061,0.017094048,0.08121015,0.37037041,0.029723974,0.034648661,0.052631519
0.400735238,0.304347795,0.24493105,0.568627439,0.461115752,0.329268263,0.38755987,0.006578929,0.076672118,0.000988393,0.006837635,0.038216532,0.201058183,0.009200261,0.001283266,0.015037617
0.231617684,0.391304411,0.041362594,0.583333294,0.422231551,0.044715491,0.071770319,0.065789522,0.047308319,0.000988393,0.003418777,0.164012764,0.015873055,0.009200261,0.006416399,0.017543887
0.360294133,0.34782603,0.268450924,0.343137197,0.270498698,0.085365842,0.291865989,0.118421071,0.138662337,0.026192228,0.042735038,0.226114571,0.074074051,0.075725386,0.068014122,0.121553932
0.091911911,0.521739118,0.232765659,0.632352927,0.414201114,0.0,0.53588522,0.006578929,0.044045699,0.022979952,0.047863285,0.050955325,0.058201149,0.020523712,0.015720231,0.038847178
0.187500012,0.608695589,0.158961875,0.823529391,0.578190984,0.0,0.401913885,0.013157859,0.114192522,0.004694806,0.015384578,0.070063668,0.05291008,0.011323451,0.017965997,0.05012525
0.187500012,0.260869559,0.206001622,0.563725488,0.395604367,0.044715491,0.248803822,0.04605262,0.246329512,0.013096143,0.02564099,0.208598693,0.417989421,0.037508863,0.02053253,0.027568965
