machine_cycle_time,min_main_memory,max_main_memory,cache,ch_min,ch_max
59,4000,12000,32,6,12
160,512,4000,2,1,5
143,1000,2000,0,5,16
300,1000,16000,8,2,112
250,512,4000,0,4,7
320,512,8000,4,1,5
180,262,4000,0,1,3
320,256,3000,4,1,3
140,2000,4000,8,1,20
17,4000,16000,32,6,12
30,16000,32000,256,16,24
100,1000,8000,24,3,6
92,2000,8000,32,1,6
50,2620,10480,30,12,24
180,2000,16000,16,1,6
38,4000,8000,32,16,32
25,2000,12000,16,3,5
60,2000,16000,64,5,8
60,4000,16000,64,5,8
143,3100,6200,0,5,20
48,4000,24000,32,8,24
125,2000,8000,0,2,14
50,500,2000,8,1,4
1100,512,1500,0,1,1
300,192,768,6,6,24
29,8000,32000,32,8,32
300,768,3000,0,6,24
60,4000,16000,32,1,6
25,2000,12000,8,1,4
140,1000,16000,16,1,3
60,2000,8000,65,1,8
26,8000,16000,0,8,16
180,512,4000,0,1,3
56,4000,8000,0,1,8
800,768,2000,0,0,0
50,2000,32000,24,6,26
200,2000,8000,64,1,5
180,262,4000,0,1,3
75,2000,16000,64,1,38
92,2000,8000,4,1,6
116,2000,8000,32,5,28
330,1000,3000,0,2,4
72,2000,8000,16,6,8
35,8000,32000,64,8,24
140,2000,4000,0,3,6
125,512,1000,0,8,20
800,256,8000,0,1,4
400,2000,4000,0,1,1
200,512,16000,0,4,32
200,1000,2000,0,1,2
320,512,5000,4,1,5
56,2000,6000,0,1,8
110,3100,6200,0,6,64
143,512,5000,0,7,32
26,16000,32000,64,16,24
90,256,1000,0,3,10
57,4000,16000,1,6,12
29,8000,32000,32,8,32
480,1000,4000,0,0,0
52,4000,16000,32,4,12
23,16000,32000,64,16,32
330,1000,4000,0,3,6
140,2000,4000,8,1,20
1100,768,2000,0,1,1
56,2000,8000,0,1,8
350,64,64,0,1,4
38,4000,16000,128,16,32
105,2000,4000,8,3,8
167,524,2000,8,4,15
125,256,6000,256,16,128
225,1000,4000,2,3,6
105,2000,6000,16,6,16
800,256,8000,0,1,4
50,4000,16000,65,1,8
100,1000,8000,0,2,6
50,2000,16000,8,3,6
75,3000,8000,8,3,48
200,512,8000,8,1,8
98,1000,8000,32,2,8
300,1000,4000,8,3,64
29,8000,32000,32,8,32
38,8000,32000,64,8,24
250,1000,16000,1,1,8
50,2000,32000,112,52,104
700,384,8000,0,1,1
50,2000,16000,12,3,16
26,8000,32000,64,8,32
105,2000,8000,16,4,14
143,1500,6300,0,5,32
810,512,512,8,1,1
105,256,2000,0,3,10
200,1000,4000,0,1,4
56,4000,16000,0,1,8
50,2000,16000,8,3,5
56,5240,20970,30,12,24
50,4000,16000,64,5,10
50,1000,4000,8,1,5
160,1000,8000,16,1,14
56,4000,12000,0,1,8
70,4000,12000,8,6,8
50,2000,8000,8,1,5
64,5240,20970,30,12,24
50,2000,4000,0,3,6
203,1000,2000,0,1,5
26,16000,32000,64,8,24
72,4000,16000,64,8,16
124,1000,8000,0,1,8
140,2000,32000,32,1,20
57,4000,24000,64,12,16
25,1310,2620,131,12,24
480,96,512,0,1,1
30,8000,64000,128,12,176
180,512,4000,0,1,3
810,1000,5000,0,1,1
175,256,2000,0,3,24
160,1000,4000,8,1,14
180,2000,8000,8,1,6
140,2000,4000,0,4,8
225,2000,4000,8,3,6
50,2000,16000,8,3,6
320,512,2000,4,1,3
400,512,3500,4,1,6
100,1000,8000,24,2,6
330,1000,2000,0,1,2
40,8000,32000,64,8,24
800,256,8000,0,1,4
29,8000,16000,32,8,16
23,16000,64000,64,16,32
110,5000,5000,142,8,64
320,128,6000,0,1,12
320,256,6000,0,1,6
25,1310,2620,131,12,24
50,1000,8000,8,3,5
133,1000,12000,9,3,12
700,256,2000,0,1,1
110,1000,4000,16,1,2
220,1000,8000,16,1,2
800,256,8000,0,1,4
800,256,8000,0,1,4
75,2000,8000,64,1,38
300,768,3000,6,6,24
300,768,4500,0,1,24
140,2000,8000,32,1,54
26,8000,32000,0,8,24
115,512,6000,16,1,6
600,768,2000,0,1,1
400,4000,8000,0,1,1
900,1000,1000,0,1,2
900,512,1000,0,1,2
900,1000,4000,4,1,2
900,1000,4000,8,1,2
900,2000,4000,0,3,6
50,2000,8000,8,3,6
50,2000,16000,24,1,6
50,8000,16000,48,1,10
50,2000,16000,24,6,16
115,2000,4000,2,1,5
92,2000,8000,32,1,6
75,4000,16000,16,1,6
40,8000,16000,32,8,16
38,16000,32000,128,16,32
112,1000,1000,0,1,4
38,4000,8000,32,16,32
38,8000,24000,160,4,8
240,512,1000,8,1,3
240,512,2000,8,1,5
26,8000,32000,64,12,16
50,4000,32000,112,52,104
