Unnamed: 0,year,month,day,hour,DEW_POINT,TEMP,PRESS,cbwd-cos,cbwd-sin,cum_ws,cum_hrs_snow,cum_hrs_rain
22399,2012,10,2,9,11,17.0,1016.0,0.707,0.707,1.79,0,0
15962,2011,12,25,7,-15,-10.0,1031.0,-0.707,0.707,12.52,0,0
4535,2010,7,21,2,21,23.0,1006.0,0.707,-0.707,36.19,0,0
19417,2012,5,22,20,12,25.0,1007.0,0.707,-0.707,47.82,0,0
3867,2010,6,22,6,20,25.0,1003.0,0.0,0.0,0.45,0,0
10611,2011,5,1,15,-2,27.0,1009.0,-0.707,0.707,242.72,0,0
3615,2010,6,11,16,15,25.0,1010.0,0.707,-0.707,6.71,0,0
40279,2014,10,29,16,4,15.0,1023.0,0.707,-0.707,1.79,0,0
22106,2012,9,20,0,14,16.0,1012.0,0.0,0.0,0.89,0,0
12150,2011,7,6,11,21,30.0,997.0,0.707,-0.707,1.79,0,0
27082,2013,4,22,16,7,16.0,1012.0,0.707,-0.707,25.03,0,0
34588,2014,3,4,14,-26,9.0,1025.0,-0.707,0.707,49.17,0,0
31422,2013,10,22,6,2,5.0,1024.0,0.0,0.0,1.34,0,0
9335,2011,2,24,20,-3,3.0,1025.0,0.707,-0.707,8.05,0,0
28171,2013,6,7,18,19,21.0,1008.0,0.707,0.707,2.68,0,0
13017,2011,8,17,10,23,28.0,1007.0,0.707,-0.707,1.79,0,0
23698,2012,11,26,12,-19,6.0,1022.0,-0.707,0.707,68.38,0,0
29758,2013,8,13,6,22,25.0,1006.0,0.707,-0.707,14.75,0,0
12455,2011,7,19,4,21,24.0,1002.0,-0.707,0.707,0.89,0,0
9114,2011,2,15,15,-9,1.0,1025.0,0.707,-0.707,1.79,0,0
28087,2013,6,4,6,17,23.0,1010.0,0.707,-0.707,25.04,0,0
21606,2012,8,30,2,22,24.0,1009.0,0.0,0.0,0.89,0,0
33417,2014,1,14,14,-23,3.0,1033.0,-0.707,0.707,1.79,0,0
16780,2012,1,31,11,-19,-3.0,1024.0,0.707,0.707,21.9,0,0
11623,2011,6,14,12,17,31.0,1003.0,0.707,-0.707,7.15,0,0
22377,2012,10,1,11,6,21.0,1017.0,0.0,0.0,0.89,0,0
37363,2014,6,29,4,17,21.0,1006.0,0.707,0.707,0.89,0,0
18747,2012,4,22,20,14,17.0,1002.0,0.707,-0.707,12.96,0,0
27931,2013,5,28,18,15,24.0,1004.0,0.707,-0.707,17.88,0,0
21824,2012,9,8,4,18,19.0,1016.0,0.707,0.707,2.68,0,0
24543,2013,1,6,5,-18,-13.0,1029.0,-0.707,0.707,14.3,0,0
13566,2011,9,10,20,14,14.0,1022.0,-0.707,0.707,3.58,0,18
20520,2012,7,8,16,24,29.0,1001.0,0.707,-0.707,4.92,0,0
28002,2013,5,31,17,12,30.0,1000.0,0.707,-0.707,46.04,0,0
25504,2013,2,15,12,-21,3.0,1029.0,0.0,0.0,3.57,0,0
31805,2013,11,7,7,-7,1.0,1022.0,-0.707,0.707,0.89,0,0
19493,2012,5,26,2,12,14.0,1008.0,0.707,0.707,1.79,0,0
8576,2011,1,24,5,-22,-11.0,1034.0,-0.707,0.707,1.79,0,0
27744,2013,5,20,22,4,21.0,997.0,0.707,-0.707,84.49,0,0
22046,2012,9,17,12,5,26.0,1014.0,0.707,0.707,4.02,0,0
13242,2011,8,28,7,19,20.0,1011.0,-0.707,0.707,6.26,0,0
33165,2014,1,3,21,-13,-1.0,1024.0,0.0,0.0,2.68,0,0
21537,2012,8,27,5,22,23.0,1010.0,0.0,0.0,0.89,0,3
37410,2014,7,1,3,17,26.0,1005.0,0.707,-0.707,53.64,0,0
30461,2013,9,11,22,15,22.0,1014.0,0.707,-0.707,37.12,0,0
21779,2012,9,6,7,14,16.0,1018.0,0.0,0.0,0.45,0,0
26241,2013,3,18,9,-18,7.0,1009.0,-0.707,0.707,80.01,0,0
29523,2013,8,3,11,17,30.0,1004.0,0.0,0.0,1.79,0,0
33841,2014,2,1,8,-6,2.0,1017.0,-0.707,0.707,14.31,0,0
36105,2014,5,6,23,8,16.0,1003.0,0.707,-0.707,3.13,0,1
36948,2014,6,11,18,12,30.0,1007.0,0.0,0.0,7.6,0,0
5486,2010,9,1,13,19,25.0,1014.0,-0.707,0.707,20.57,0,0
29081,2013,7,15,18,22,25.0,995.0,-0.707,0.707,5.81,0,22
24187,2012,12,17,0,-3,-2.0,1030.0,-0.707,0.707,9.39,0,0
14837,2011,11,8,6,2,9.0,1027.0,-0.707,0.707,11.63,0,0
12230,2011,7,9,19,14,31.0,1004.0,0.707,-0.707,17.88,0,0
3203,2010,5,19,22,0,27.0,1001.0,-0.707,0.707,3.13,0,0
12441,2011,7,18,14,21,29.0,1004.0,0.0,0.0,0.89,0,0
12686,2011,7,28,19,27,30.0,1005.0,0.707,-0.707,15.65,0,0
17714,2012,3,10,18,-24,1.0,1029.0,-0.707,0.707,117.56,0,0
24413,2012,12,31,19,-13,-5.0,1017.0,0.707,-0.707,0.89,0,0
41253,2014,12,10,15,-19,5.0,1026.0,-0.707,0.707,53.63,0,0
29818,2013,8,15,18,25,31.0,1001.0,0.707,-0.707,19.68,0,0
9216,2011,2,19,21,-6,6.0,1024.0,0.707,-0.707,14.31,0,0
12396,2011,7,16,17,21,30.0,1003.0,0.707,-0.707,16.54,0,0
22684,2012,10,14,7,7,14.0,1020.0,0.0,0.0,49.84,0,0
2585,2010,4,24,2,-4,11.0,1018.0,0.707,-0.707,27.72,0,0
25409,2013,2,11,12,-11,-3.0,1034.0,0.0,0.0,1.78,0,0
