Column1,Column2,Column3,Column4,Column5
800,4.0,0.2286,71.3,0.00400603
3150,0.0,0.1016,71.3,0.00121072
500,15.6,0.1016,71.3,0.0437259
12500,0.0,0.0508,31.7,0.000812164
3150,9.9,0.1524,55.5,0.0208438
6300,0.0,0.2286,55.5,0.00229336
630,7.2,0.1524,39.6,0.00909175
1000,8.9,0.1016,39.6,0.0124596
10000,12.7,0.0254,71.3,0.0121808
4000,15.6,0.1016,39.6,0.0528487
250,7.3,0.2286,31.7,0.0132672
3150,8.9,0.1016,71.3,0.0103088
630,9.9,0.1524,39.6,0.0233328
4000,4.0,0.3048,39.6,0.00579636
2000,9.9,0.1524,31.7,0.0252785
315,17.4,0.0254,39.6,0.0172206
1250,5.4,0.1524,31.7,0.00525474
2000,4.8,0.0254,31.7,0.000930789
1600,19.7,0.0508,71.3,0.0341183
5000,0.0,0.2286,31.7,0.0027238
6300,0.0,0.3048,39.6,0.00310138
3150,4.2,0.0508,71.3,0.00142788
1250,6.7,0.1016,31.7,0.00592927
2500,15.4,0.0508,39.6,0.0282593
8000,3.0,0.3048,39.6,0.00495741
3150,5.4,0.1524,39.6,0.00485029
1000,9.5,0.0254,55.5,0.0043284
400,9.9,0.1524,39.6,0.0233328
1000,3.3,0.1016,31.7,0.00251435
1250,15.4,0.0508,31.7,0.0289853
630,3.3,0.1016,39.6,0.00245138
1000,0.0,0.2286,55.5,0.00229336
315,2.0,0.2286,39.6,0.00346574
3150,0.0,0.3048,31.7,0.00331266
2500,0.0,0.0508,31.7,0.000812164
8000,0.0,0.1524,39.6,0.00193287
6300,5.4,0.1524,71.3,0.00401199
6300,5.4,0.1524,55.5,0.00433288
8000,7.2,0.1524,39.6,0.00909175
1600,8.4,0.0508,31.7,0.00580776
800,0.0,0.1524,31.7,0.00209405
1250,3.3,0.1016,39.6,0.00245138
1600,17.4,0.0254,39.6,0.0172206
1000,0.0,0.1016,55.5,0.00131983
20000,0.0,0.2286,71.3,0.00214345
250,11.2,0.0508,71.3,0.014072
3150,15.4,0.0508,71.3,0.0264269
4000,12.3,0.1016,31.7,0.0418756
315,9.9,0.1524,31.7,0.0252785
1000,2.0,0.2286,55.5,0.00313525
2000,12.3,0.1016,55.5,0.0368233
630,0.0,0.3048,39.6,0.00310138
2500,8.9,0.1016,71.3,0.0103088
3150,12.3,0.1016,71.3,0.0337792
630,5.4,0.1524,39.6,0.00485029
800,19.7,0.0508,71.3,0.0341183
6300,22.2,0.0254,71.3,0.0214178
630,4.8,0.0254,39.6,0.000907475
315,15.4,0.0508,31.7,0.0289853
630,7.3,0.2286,71.3,0.0104404
500,9.9,0.1524,55.5,0.0208438
5000,3.3,0.1016,39.6,0.00245138
250,8.9,0.1016,39.6,0.0124596
630,9.5,0.0254,71.3,0.00420654
3150,8.4,0.0508,31.7,0.00580776
2000,1.5,0.3048,39.6,0.00392107
1250,5.4,0.1524,71.3,0.00401199
5000,5.4,0.1524,39.6,0.00485029
8000,0.0,0.3048,71.3,0.00266337
3150,4.0,0.3048,39.6,0.00579636
500,9.9,0.1524,31.7,0.0252785
8000,4.2,0.0508,71.3,0.00142788
2500,4.0,0.2286,39.6,0.00473801
800,17.4,0.0254,55.5,0.0165706
2000,0.0,0.3048,39.6,0.00310138
16000,1.5,0.3048,71.3,0.00336729
500,4.8,0.0254,31.7,0.000930789
3150,0.0,0.2286,55.5,0.00229336
4000,9.5,0.0254,55.5,0.0043284
4000,12.3,0.1016,39.6,0.0408268
1000,12.7,0.0254,39.6,0.0130253
4000,2.7,0.1524,39.6,0.00294804
1600,2.0,0.2286,55.5,0.00313525
500,19.7,0.0508,71.3,0.0341183
3150,5.4,0.1524,71.3,0.00401199
2000,9.9,0.1524,55.5,0.0208438
1600,8.4,0.0508,39.6,0.00566229
1600,9.9,0.1524,71.3,0.0193001
1000,7.2,0.1524,39.6,0.00909175
1000,0.0,0.3048,71.3,0.00266337
5000,2.7,0.1524,71.3,0.00243851
630,17.4,0.0254,39.6,0.0172206
630,9.9,0.1524,55.5,0.0208438
6300,12.6,0.1524,39.6,0.0584113
2500,0.0,0.0254,31.7,0.000439472
2500,12.7,0.0254,39.6,0.0130253
500,4.0,0.2286,31.7,0.00509068
3150,9.5,0.0254,31.7,0.00461377
4000,15.4,0.0508,39.6,0.0282593
3150,12.7,0.0254,71.3,0.0121808
5000,22.2,0.0254,39.6,0.0229028
800,0.0,0.1524,71.3,0.0015988
2500,1.5,0.3048,71.3,0.00336729
1250,7.2,0.1524,71.3,0.00752039
3150,4.8,0.0254,31.7,0.000930789
8000,0.0,0.1016,55.5,0.00131983
800,0.0,0.3048,55.5,0.00283081
6300,0.0,0.0254,71.3,0.000400682
1250,6.7,0.1016,71.3,0.00478288
4000,7.3,0.2286,31.7,0.0132672
6300,4.8,0.0254,55.5,0.000873218
6300,0.0,0.1524,55.5,0.00172668
200,9.9,0.1524,39.6,0.0233328
315,9.5,0.0254,31.7,0.00461377
6300,0.0,0.1016,39.6,0.00146332
6300,3.0,0.3048,71.3,0.00425727
2000,2.0,0.2286,71.3,0.00293031
800,17.4,0.0254,39.6,0.0172206
3150,0.0,0.0254,31.7,0.000439472
1600,0.0,0.1016,55.5,0.00131983
1000,22.2,0.0254,39.6,0.0229028
630,2.0,0.2286,71.3,0.00293031
250,17.4,0.0254,71.3,0.016104
1600,3.0,0.3048,39.6,0.00495741
2500,6.7,0.1016,55.5,0.0052139
6300,1.5,0.3048,71.3,0.00336729
2500,12.6,0.1524,71.3,0.0483159
315,12.3,0.1016,31.7,0.0418756
10000,4.8,0.0254,55.5,0.000873218
630,4.0,0.2286,31.7,0.00509068
5000,0.0,0.0508,39.6,0.000791822
800,15.6,0.1016,39.6,0.0528487
500,12.3,0.1016,55.5,0.0368233
2000,6.7,0.1016,31.7,0.00592927
630,12.3,0.1016,71.3,0.0337792
3150,15.6,0.1016,71.3,0.0437259
2500,3.0,0.3048,71.3,0.00425727
20000,4.8,0.0254,71.3,0.000848633
3150,4.0,0.2286,55.5,0.0042862
5000,7.2,0.1524,39.6,0.00909175
10000,2.7,0.1524,39.6,0.00294804
8000,22.2,0.0254,71.3,0.0214178
4000,0.0,0.1524,71.3,0.0015988
1600,6.7,0.1016,31.7,0.00592927
2500,5.3,0.2286,39.6,0.00614329
3150,0.0,0.1524,31.7,0.00209405
1600,7.3,0.2286,39.6,0.0123481
800,1.5,0.3048,71.3,0.00336729
400,7.2,0.1524,71.3,0.00752039
200,12.3,0.1016,71.3,0.0337792
200,17.4,0.0254,71.3,0.016104
2500,22.2,0.0254,71.3,0.0214178
1600,15.4,0.0508,55.5,0.0271925
3150,9.5,0.0254,39.6,0.00449821
4000,5.4,0.1524,31.7,0.00525474
315,9.9,0.1524,71.3,0.0193001
1250,4.0,0.2286,55.5,0.0042862
5000,15.4,0.0508,55.5,0.0271925
6300,0.0,0.0508,31.7,0.000812164
400,11.2,0.0508,71.3,0.014072
400,7.2,0.1524,39.6,0.00909175
500,4.0,0.3048,71.3,0.00497773
1250,0.0,0.0254,31.7,0.000439472
1250,11.2,0.0508,39.6,0.0150478
2000,17.4,0.0254,71.3,0.016104
1000,4.8,0.0254,31.7,0.000930789
800,5.3,0.2286,39.6,0.00614329
315,15.4,0.0508,39.6,0.0282593
800,22.2,0.0254,71.3,0.0214178
2000,17.4,0.0254,31.7,0.0176631
10000,3.3,0.1016,39.6,0.00245138
4000,7.3,0.2286,71.3,0.0104404
3150,4.2,0.0508,39.6,0.00152689
8000,3.0,0.3048,55.5,0.00452492
400,17.4,0.0254,71.3,0.016104
1600,19.7,0.0508,39.6,0.036484
2000,3.3,0.1016,55.5,0.002211
5000,2.0,0.2286,71.3,0.00293031
3150,5.3,0.2286,39.6,0.00614329
4000,0.0,0.2286,31.7,0.0027238
250,12.3,0.1016,31.7,0.0418756
2500,11.2,0.0508,39.6,0.0150478
4000,9.9,0.1524,55.5,0.0208438
