day_of_yr,season,yr_since_2011,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
264,3,1,9,0,4,1,1,0.546667,0.532192,0.618333,0.118167
268,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792
303,4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617
318,4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046
185,3,1,7,0,2,1,1,0.780833,0.70265,0.492083,0.126237
246,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325
81,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575
94,2,1,4,0,2,1,1,0.466667,0.461483,0.396667,0.100133
21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242
260,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675
1,1,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167
22,1,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638
283,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042
355,1,0,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214
55,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496
246,3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0640708
308,4,1,11,0,6,0,2,0.343333,0.323846,0.49125,0.270529
207,3,1,7,0,3,1,1,0.724167,0.654054,0.45,0.1648
152,2,1,5,0,4,1,1,0.68,0.631329,0.492917,0.195279
129,2,1,5,0,2,1,2,0.581667,0.557471,0.685833,0.296029
258,3,1,9,0,5,1,1,0.633333,0.594083,0.6725,0.103863
297,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792
316,4,1,11,0,0,0,1,0.420833,0.421713,0.659167,0.1275
97,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312
88,2,1,3,0,3,1,1,0.484167,0.47095,0.48125,0.291671
53,1,1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471
