Cement,Blast_Furnace_Slag ,Fly_ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age_days
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7
491.0,26.0,123.0,210.0,3.9,882.0,699.0,7
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28
194.7,0.0,100.5,170.2,7.5,998.0,901.8,100
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3
