Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr,FLOW_cm,Compressive_Strength
304.0,0.0,140.0,214.0,6.0,895.0,722.0,51.0,38.46
152.0,139.0,178.0,168.0,18.0,944.0,695.0,20.0,38.86
322.0,116.0,0.0,196.0,10.0,818.0,813.0,67.0,29.77
142.0,130.0,167.0,215.0,6.0,735.0,836.0,67.0,31.37
143.3,91.8,239.8,200.8,6.2,964.8,647.1,55.0,27.09
159.0,0.0,248.0,175.0,12.0,1041.0,683.0,51.0,35.39
146.0,106.0,137.0,209.0,6.0,875.0,765.0,67.0,27.89
165.0,150.0,0.0,182.0,12.0,1023.0,729.0,20.0,18.26
278.0,0.0,117.0,205.0,9.0,875.0,799.0,48.0,32.71
348.7,0.1,223.1,208.5,9.6,786.2,758.1,78.0,48.77
145.0,0.0,227.0,240.0,6.0,750.0,853.0,58.5,36.59
141.1,0.6,209.5,188.8,4.6,996.1,789.2,53.0,30.43
140.0,128.0,164.0,183.0,12.0,871.0,775.0,53.0,33.38
140.1,4.2,215.9,193.9,4.7,1049.5,710.1,57.0,26.42
165.3,143.2,238.3,200.4,7.1,883.2,652.6,27.0,32.84
261.0,78.0,100.0,201.0,9.0,864.0,761.0,63.5,34.18
326.0,0.0,167.0,174.0,6.0,884.0,792.0,42.0,52.65
291.0,105.0,0.0,205.0,6.0,859.0,797.0,59.0,27.62
310.0,0.0,143.0,168.0,10.0,914.0,804.0,48.2,49.3
149.0,109.0,139.0,193.0,6.0,892.0,780.0,58.5,28.7
366.0,0.0,187.0,191.0,7.0,824.0,757.0,62.7,52.65
153.0,0.0,239.0,200.0,6.0,1002.0,684.0,35.0,28.29
280.0,92.0,118.0,207.0,9.0,883.0,679.0,64.0,37.39
150.4,110.9,239.7,168.1,6.5,1000.2,667.2,27.5,37.92
172.0,162.1,238.5,166.0,7.4,953.3,641.4,20.0,41.54
162.0,148.0,191.0,179.0,16.0,840.0,743.0,20.0,41.81
287.0,94.0,121.0,188.0,9.0,904.0,696.0,61.0,43.01
150.3,111.4,238.8,167.3,6.5,999.5,670.5,36.5,38.19
310.0,0.0,143.0,218.0,10.0,787.0,804.0,46.0,36.19
276.0,90.0,116.0,180.0,9.0,870.0,768.0,20.0,44.08
295.0,106.0,136.0,208.0,6.0,871.0,650.0,70.0,39.4
